I28CD1-QD1  598.8 2.5e-01 -1.200e+04 2.3e+01 25.0  1.00000  0.00202  1.00000
I28CD1-QD1  598.8 2.5e-01 -4.245e+03 2.3e+01 25.0  0.68510  0.00202  0.68333
I28CD1-QD1  598.8 2.5e-01 -4.215e+03 2.3e+01 25.0  0.68570  0.00202  0.68208
I28CD1-QD1  598.8 2.5e-01 -4.185e+03 2.3e+01 25.0  0.68450  0.00202  0.68069
I28CD1-QD1  598.8 2.5e-01 -4.155e+03 2.3e+01 25.0  0.68280  0.00202  0.67851
I28CD1-QD1  598.8 2.5e-01 -4.125e+03 2.3e+01 25.0  0.67960  0.00202  0.67599
I28CD1-QD1  598.8 2.5e-01 -4.095e+03 2.3e+01 25.0  0.67320  0.00202  0.67176
I28CD1-QD1  598.8 2.5e-01 -4.065e+03 2.3e+01 25.0  0.66750  0.00202  0.66637
I28CD1-QD1  598.8 2.5e-01 -4.035e+03 2.3e+01 25.0  0.66040  0.00202  0.65684
I28CD1-QD1  598.8 2.5e-01 -4.005e+03 2.3e+01 25.0  0.65160  0.00202  0.64215
I28CD1-QD1  598.8 2.5e-01 -3.975e+03 2.3e+01 25.0  0.62320  0.00202  0.61448
I28CD1-QD1  598.8 2.5e-01 -3.945e+03 2.3e+01 25.0  0.57060  0.00202  0.55755
I28CD1-QD1  598.8 2.5e-01 -3.915e+03 2.3e+01 25.0  0.44360  0.00202  0.42790
I28CD1-QD1  598.8 2.5e-01 -3.885e+03 2.3e+01 25.0  0.17930  0.00202  0.19951
I28CD1-QD1  598.8 2.5e-01 -3.855e+03 2.3e+01 25.0  0.02890  0.00202  0.04406
I28CD1-QD1  598.8 2.5e-01 -3.825e+03 2.3e+01 25.0  0.10530  0.00202  0.13716
I28CD1-QD1  598.8 2.5e-01 -3.795e+03 2.3e+01 25.0  0.33370  0.00202  0.33361
I28CD1-QD1  598.8 2.5e-01 -3.765e+03 2.3e+01 25.0  0.48400  0.00202  0.47663
I28CD1-QD1  598.8 2.5e-01 -3.735e+03 2.3e+01 25.0  0.54790  0.00202  0.54367
I28CD1-QD1  598.8 2.5e-01 -3.705e+03 2.3e+01 25.0  0.58090  0.00202  0.57577
I28CD1-QD1  598.8 2.5e-01 -3.675e+03 2.3e+01 25.0  0.59210  0.00202  0.58866
I28CD1-QD1  598.8 2.5e-01 -3.645e+03 2.3e+01 25.0  0.59350  0.00202  0.58919
