# Name:    I28N-HN
# y_ppm:  126.95526    0.00001
# yw_hz:   15.93158    0.03079
# y_eta:    0.00000    0.00000
# x_ppm:    9.27573    0.00002
# xw_hz:   22.49537    0.04381
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0   -1.857739e+07    7.550000e+04
      -375.0   -1.173796e+07    7.550000e+04
      -325.0   -9.115559e+06    7.550000e+04
      -275.0   -7.171699e+06    7.550000e+04
      -225.0   -1.086320e+07    7.550000e+04
      -175.0   -1.181460e+07    7.550000e+04
      -125.0   -1.198362e+07    7.550000e+04
       -75.0   -1.190530e+07    7.550000e+04
       -25.0   -1.158807e+07    7.550000e+04
        25.0   -1.109636e+07    7.550000e+04
        75.0   -8.747827e+06    7.550000e+04
       125.0   -1.086065e+06    7.550000e+04
       175.0   -5.396057e+06    7.550000e+04
       225.0   -1.107855e+07    7.550000e+04
       275.0   -1.184884e+07    7.550000e+04
       325.0   -1.179073e+07    7.550000e+04
