# Name:    E24N-HN
# y_ppm:  123.96372    0.00002
# yw_hz:   17.38158    0.05005
# y_eta:    0.00000    0.00000
# x_ppm:    8.25516    0.00002
# xw_hz:   18.34400    0.05326
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    2.818885e+07    7.550000e+04
      -375.0    1.679125e+07    7.550000e+04
      -325.0    1.686226e+07    7.550000e+04
      -275.0    1.594568e+07    7.550000e+04
      -225.0    1.232256e+07    7.550000e+04
      -175.0    9.101539e+04    7.550000e+04
      -125.0    8.842402e+06    7.550000e+04
       -75.0    1.657415e+07    7.550000e+04
       -25.0    1.804955e+07    7.550000e+04
        25.0    1.855315e+07    7.550000e+04
        75.0    1.853934e+07    7.550000e+04
       125.0    1.793681e+07    7.550000e+04
       175.0    1.516706e+07    7.550000e+04
       225.0    9.050187e+06    7.550000e+04
       275.0    1.522109e+07    7.550000e+04
       325.0    1.674990e+07    7.550000e+04
