# Name:    R40N-HN
# y_ppm:  119.81977    0.00002
# yw_hz:   15.14143    0.04218
# y_eta:    0.00000    0.00000
# x_ppm:    8.92184    0.00003
# xw_hz:   23.90202    0.06838
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    2.533673e+07    7.550000e+04
      -375.0    1.787388e+07    7.550000e+04
      -325.0    1.804635e+07    7.550000e+04
      -275.0    1.797096e+07    7.550000e+04
      -225.0    1.815217e+07    7.550000e+04
      -175.0    1.792149e+07    7.550000e+04
      -125.0    1.796186e+07    7.550000e+04
       -75.0    1.778383e+07    7.550000e+04
       -25.0    1.752911e+07    7.550000e+04
        25.0    1.628293e+07    7.550000e+04
        75.0    8.444738e+06    7.550000e+04
       125.0    2.536954e+05    7.550000e+04
       175.0    1.439703e+07    7.550000e+04
       225.0    1.694017e+07    7.550000e+04
       275.0    1.766256e+07    7.550000e+04
       325.0    1.792555e+07    7.550000e+04
