# Name:     F4N-HN
# y_ppm:  123.52628    0.00001
# yw_hz:   16.03735    0.03014
# y_eta:    0.00000    0.00000
# x_ppm:    9.10406    0.00002
# xw_hz:   24.08840    0.04621
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    1.740270e+07    7.550000e+04
      -375.0    1.059413e+07    7.550000e+04
      -325.0    1.014972e+07    7.550000e+04
      -275.0    8.274454e+06    7.550000e+04
      -225.0    9.448015e+05    7.550000e+04
      -175.0    4.661352e+06    7.550000e+04
      -125.0    1.034962e+07    7.550000e+04
       -75.0    1.145745e+07    7.550000e+04
       -25.0    1.175143e+07    7.550000e+04
        25.0    1.178447e+07    7.550000e+04
        75.0    1.164955e+07    7.550000e+04
       125.0    1.075332e+07    7.550000e+04
       175.0    5.908070e+06    7.550000e+04
       225.0    8.513753e+06    7.550000e+04
       275.0    1.030576e+07    7.550000e+04
       325.0    1.051678e+07    7.550000e+04
