# ***
# *** The fit converged successfully 
# ***
# X2 of the fit  :  6.00664e+05
# Free Parameters:           24
# Data Points    :        12798
#   F2(ppm)     F1(ppm)        Data        Calc 
 8.5655e+00  1.2026e+02  4.5526e+04 -1.4911e+04 
 8.5694e+00  1.2026e+02  5.6671e+04 -2.7891e+04 
 8.5733e+00  1.2026e+02  6.3400e+04 -4.7977e+04 
 8.5772e+00  1.2026e+02  6.2909e+04 -7.4210e+04 
 8.5811e+00  1.2026e+02  5.4707e+04 -1.0208e+05 
 8.5850e+00  1.2026e+02  3.0709e+04 -1.2384e+05 
 8.5889e+00  1.2026e+02 -6.9201e+03 -1.3131e+05 
 8.5928e+00  1.2026e+02 -2.9758e+04 -1.2113e+05 
 8.5967e+00  1.2026e+02 -3.8895e+04 -9.7800e+04 
 8.6006e+00  1.2026e+02 -3.5387e+04 -6.9741e+04 
 8.6045e+00  1.2026e+02 -1.1377e+04 -4.4287e+04 
 8.6084e+00  1.2026e+02  1.3899e+04 -2.5354e+04 
 8.6123e+00  1.2026e+02  6.7844e+03 -1.3420e+04 
  
 8.5460e+00  1.2031e+02  3.5018e+04 -1.6692e+03 
 8.5499e+00  1.2031e+02  3.7970e+04 -2.1318e+03 
 8.5538e+00  1.2031e+02  3.2076e+04 -3.0450e+03 
 8.5577e+00  1.2031e+02  2.8952e+04 -5.0553e+03 
 8.5616e+00  1.2031e+02  2.9495e+04 -9.4681e+03 
 8.5655e+00  1.2031e+02  3.3473e+04 -1.8407e+04 
 8.5694e+00  1.2031e+02  3.9319e+04 -3.4430e+04 
 8.5733e+00  1.2031e+02  4.4430e+04 -5.9224e+04 
 8.5772e+00  1.2031e+02  4.3675e+04 -9.1607e+04 
 8.5811e+00  1.2031e+02  2.1907e+04 -1.2601e+05 
 8.5850e+00  1.2031e+02 -3.1934e+03 -1.5287e+05 
 8.5889e+00  1.2031e+02 -3.2601e+04 -1.6209e+05 
 8.5928e+00  1.2031e+02 -3.4510e+04 -1.4953e+05 
 8.5967e+00  1.2031e+02 -1.9542e+04 -1.2073e+05 
 8.6006e+00  1.2031e+02  1.2479e+03 -8.6089e+04 
 8.6045e+00  1.2031e+02  2.1507e+04 -5.4668e+04 
 8.6084e+00  1.2031e+02  2.4708e+04 -3.1297e+04 
 8.6123e+00  1.2031e+02  1.3613e+04 -1.6566e+04 
 8.6162e+00  1.2031e+02 -1.4325e+04 -8.5222e+03 
 8.6201e+00  1.2031e+02 -5.2808e+04 -4.6158e+03 
 8.6240e+00  1.2031e+02 -9.0482e+04 -2.8483e+03 
 8.6279e+00  1.2031e+02 -1.1208e+05 -2.0377e+03 
 8.6318e+00  1.2031e+02 -1.1662e+05 -1.6158e+03 
  
 8.5382e+00  1.2036e+02  2.8938e+04 -1.4985e+03 
 8.5421e+00  1.2036e+02  2.6128e+04 -1.7535e+03 
 8.5460e+00  1.2036e+02  2.3930e+04 -2.1102e+03 
 8.5499e+00  1.2036e+02  2.9213e+04 -2.6950e+03 
 8.5538e+00  1.2036e+02  2.6499e+04 -3.8494e+03 
 8.5577e+00  1.2036e+02  1.8763e+04 -6.3907e+03 
 8.5616e+00  1.2036e+02  9.6268e+03 -1.1969e+04 
 8.5655e+00  1.2036e+02 -8.2979e+02 -2.3269e+04 
 8.5694e+00  1.2036e+02 -1.4495e+04 -4.3525e+04 
 8.5733e+00  1.2036e+02 -3.3410e+04 -7.4869e+04 
 8.5772e+00  1.2036e+02 -6.2494e+04 -1.1581e+05 
 8.5811e+00  1.2036e+02 -1.1486e+05 -1.5929e+05 
 8.5850e+00  1.2036e+02 -1.4827e+05 -1.9325e+05 
 8.5889e+00  1.2036e+02 -1.5567e+05 -2.0491e+05 
 8.5928e+00  1.2036e+02 -1.2836e+05 -1.8903e+05 
 8.5967e+00  1.2036e+02 -8.1046e+04 -1.5262e+05 
 8.6006e+00  1.2036e+02 -3.5731e+04 -1.0883e+05 
 8.6045e+00  1.2036e+02 -1.7667e+04 -6.9109e+04 
 8.6084e+00  1.2036e+02 -2.5834e+04 -3.9564e+04 
 8.6123e+00  1.2036e+02 -2.7097e+04 -2.0942e+04 
 8.6162e+00  1.2036e+02 -4.2725e+04 -1.0773e+04 
 8.6201e+00  1.2036e+02 -7.2856e+04 -5.8351e+03 
 8.6240e+00  1.2036e+02 -9.7057e+04 -3.6008e+03 
 8.6279e+00  1.2036e+02 -1.0738e+05 -2.5760e+03 
 8.6318e+00  1.2036e+02 -1.1001e+05 -2.0427e+03 
 8.6357e+00  1.2036e+02 -1.0303e+05 -1.7076e+03 
 8.6396e+00  1.2036e+02 -8.3619e+04 -1.4636e+03 
  
