# ***
# *** The fit converged successfully 
# ***
# X2 of the fit  :  3.67100e+06
# Free Parameters:           24
# Data Points    :        12798
#   F2(ppm)     F1(ppm)        Data        Calc 
 8.1872e+00  1.2286e+02  2.9515e+05 -3.2598e+02 
 8.1911e+00  1.2286e+02  2.7671e+05 -7.4597e+01 
 8.1950e+00  1.2286e+02  2.5557e+05 -7.6116e+00 
 8.1989e+00  1.2286e+02  2.4302e+05  6.8989e+00 
 8.2028e+00  1.2286e+02  2.3150e+05  8.7597e+00 
 8.2067e+00  1.2286e+02  2.1024e+05  8.1439e+00 
 8.2106e+00  1.2286e+02  1.7190e+05  7.2396e+00 
 8.2145e+00  1.2286e+02  1.2220e+05  6.4236e+00 
  
 8.0858e+00  1.2291e+02 -3.5472e+05  8.0286e+00 
 8.0897e+00  1.2291e+02 -4.6870e+05  9.0369e+00 
 8.0936e+00  1.2291e+02 -4.3885e+05  1.0189e+01 
 8.0975e+00  1.2291e+02 -4.0792e+05  1.1213e+01 
 8.1014e+00  1.2291e+02 -3.2995e+05  1.0362e+01 
 8.1053e+00  1.2291e+02 -1.9210e+05 -9.3970e-01 
 8.1092e+00  1.2291e+02 -9.0310e+04 -5.7939e+01 
 8.1131e+00  1.2291e+02 -3.4834e+04 -2.8323e+02 
 8.1170e+00  1.2291e+02 -3.7015e+04 -1.0363e+03 
 8.1209e+00  1.2291e+02 -3.0389e+04 -3.1954e+03 
 8.1248e+00  1.2291e+02 -1.4476e+04 -8.5123e+03 
 8.1287e+00  1.2291e+02  2.6671e+03 -1.9721e+04 
 8.1326e+00  1.2291e+02 -2.0185e+04 -3.9814e+04 
 8.1365e+00  1.2291e+02 -6.3242e+04 -7.0096e+04 
 8.1404e+00  1.2291e+02 -1.0880e+05 -1.0765e+05 
 8.1443e+00  1.2291e+02 -1.4051e+05 -1.4423e+05 
 8.1482e+00  1.2291e+02 -1.4899e+05 -1.6860e+05 
 8.1521e+00  1.2291e+02 -1.2118e+05 -1.7196e+05 
 8.1560e+00  1.2291e+02 -5.7881e+04 -1.5305e+05 
 8.1599e+00  1.2291e+02  5.8150e+04 -1.1885e+05 
 8.1638e+00  1.2291e+02  2.2811e+05 -8.0515e+04 
 8.1677e+00  1.2291e+02  3.2290e+05 -4.7582e+04 
 8.1716e+00  1.2291e+02  2.5585e+05 -2.4525e+04 
 8.1755e+00  1.2291e+02  2.8776e+05 -1.1019e+04 
 8.1794e+00  1.2291e+02  3.4605e+05 -4.3089e+03 
 8.1833e+00  1.2291e+02  3.7749e+05 -1.4598e+03 
 8.1872e+00  1.2291e+02  3.8895e+05 -4.2143e+02 
 8.1911e+00  1.2291e+02  3.8180e+05 -9.6441e+01 
 8.1950e+00  1.2291e+02  3.5806e+05 -9.8405e+00 
 8.1989e+00  1.2291e+02  3.2840e+05  8.9191e+00 
 8.2028e+00  1.2291e+02  2.9246e+05  1.1325e+01 
 8.2067e+00  1.2291e+02  2.4418e+05  1.0529e+01 
 8.2106e+00  1.2291e+02  1.8017e+05  9.3595e+00 
 8.2145e+00  1.2291e+02  1.1084e+05  8.3046e+00 
 8.2184e+00  1.2291e+02  5.3018e+04  7.4071e+00 
  
 8.0819e+00  1.2296e+02 -2.0185e+04  8.4753e+00 
 8.0858e+00  1.2296e+02 -1.3764e+05  9.4860e+00 
 8.0897e+00  1.2296e+02 -2.3445e+05  1.0677e+01 
 8.0936e+00  1.2296e+02 -2.2302e+05  1.2039e+01 
 8.0975e+00  1.2296e+02 -3.0878e+05  1.3248e+01 
 8.1014e+00  1.2296e+02 -1.7452e+05  1.2243e+01 
 8.1053e+00  1.2296e+02 -5.3753e+04 -1.1103e+00 
 8.1092e+00  1.2296e+02  3.2051e+04 -6.8457e+01 
 8.1131e+00  1.2296e+02  7.3062e+04 -3.3464e+02 
 8.1170e+00  1.2296e+02  6.0309e+04 -1.2244e+03 
 8.1209e+00  1.2296e+02 -8.5972e+03 -3.7754e+03 
 8.1248e+00  1.2296e+02 -6.3306e+04 -1.0058e+04 
 8.1287e+00  1.2296e+02 -5.9138e+04 -2.3301e+04 
 8.1326e+00  1.2296e+02 -5.2836e+04 -4.7041e+04 
 8.1365e+00  1.2296e+02 -6.2348e+04 -8.2821e+04 
 8.1404e+00  1.2296e+02 -7.0270e+04 -1.2719e+05 
 8.1443e+00  1.2296e+02 -6.8532e+04 -1.7041e+05 
 8.1482e+00  1.2296e+02 -6.1464e+04 -1.9920e+05 
 8.1521e+00  1.2296e+02 -5.3042e+04 -2.0318e+05 
 8.1560e+00  1.2296e+02 -3.5735e+04 -1.8083e+05 
 8.1599e+00  1.2296e+02 -5.5994e+03 -1.4042e+05 
 8.1638e+00  1.2296e+02  3.2902e+04 -9.5131e+04 
 8.1677e+00  1.2296e+02  3.9680e+04 -5.6220e+04 
 8.1716e+00  1.2296e+02  7.0026e+04 -2.8977e+04 
 8.1755e+00  1.2296e+02  2.3404e+05 -1.3019e+04 
