# ***
# *** The fit converged successfully 
# ***
# X2 of the fit  :  7.73461e+04
# Free Parameters:           24
# Data Points    :        12798
#   F2(ppm)     F1(ppm)        Data        Calc 
 8.3198e+00  1.2585e+02  3.4312e+04  1.8362e+04 
 8.3237e+00  1.2585e+02  4.2413e+04  2.3427e+04 
 8.3276e+00  1.2585e+02  4.5815e+04  2.9341e+04 
 8.3315e+00  1.2585e+02  4.5330e+04  3.5743e+04 
 8.3354e+00  1.2585e+02  4.4441e+04  4.1874e+04 
 8.3393e+00  1.2585e+02  4.5640e+04  4.6511e+04 
 8.3432e+00  1.2585e+02  4.8067e+04  4.8310e+04 
 8.3471e+00  1.2585e+02  5.0841e+04  4.6633e+04 
 8.3510e+00  1.2585e+02  5.1330e+04  4.2077e+04 
 8.3549e+00  1.2585e+02  4.6948e+04  3.5976e+04 
 8.3588e+00  1.2585e+02  3.9777e+04  2.9568e+04 
 8.3627e+00  1.2585e+02  3.3553e+04  2.3628e+04 
 8.3666e+00  1.2585e+02  3.3143e+04  1.8529e+04 
  
 8.3003e+00  1.2590e+02  3.5891e+04  6.8691e+03 
 8.3042e+00  1.2590e+02  3.7792e+04  8.4608e+03 
 8.3081e+00  1.2590e+02  3.6747e+04  1.0645e+04 
 8.3120e+00  1.2590e+02  4.4583e+04  1.3613e+04 
 8.3159e+00  1.2590e+02  5.6831e+04  1.7554e+04 
 8.3198e+00  1.2590e+02  6.4765e+04  2.2618e+04 
 8.3237e+00  1.2590e+02  7.0969e+04  2.8858e+04 
 8.3276e+00  1.2590e+02  7.4475e+04  3.6143e+04 
 8.3315e+00  1.2590e+02  7.2033e+04  4.4029e+04 
 8.3354e+00  1.2590e+02  6.7389e+04  5.1581e+04 
 8.3393e+00  1.2590e+02  6.5118e+04  5.7293e+04 
 8.3432e+00  1.2590e+02  6.6951e+04  5.9509e+04 
 8.3471e+00  1.2590e+02  6.9636e+04  5.7444e+04 
 8.3510e+00  1.2590e+02  6.6741e+04  5.1831e+04 
 8.3549e+00  1.2590e+02  5.7290e+04  4.4316e+04 
 8.3588e+00  1.2590e+02  4.4202e+04  3.6422e+04 
 8.3627e+00  1.2590e+02  3.1687e+04  2.9106e+04 
 8.3666e+00  1.2590e+02  2.5847e+04  2.2824e+04 
 8.3705e+00  1.2590e+02  2.6300e+04  1.7717e+04 
 8.3744e+00  1.2590e+02  2.5970e+04  1.3738e+04 
 8.3783e+00  1.2590e+02  1.6859e+04  1.0738e+04 
 8.3822e+00  1.2590e+02  5.1467e+03  8.5287e+03 
 8.3861e+00  1.2590e+02  1.4225e+04  6.9185e+03 
  
 8.2925e+00  1.2595e+02  4.8112e+04  6.1722e+03 
 8.2964e+00  1.2595e+02  6.0221e+04  7.2757e+03 
 8.3003e+00  1.2595e+02  6.1608e+04  8.7599e+03 
 8.3042e+00  1.2595e+02  5.0980e+04  1.0790e+04 
 8.3081e+00  1.2595e+02  3.4339e+04  1.3576e+04 
 8.3120e+00  1.2595e+02  5.0364e+04  1.7360e+04 
 8.3159e+00  1.2595e+02  6.8913e+04  2.2386e+04 
 8.3198e+00  1.2595e+02  8.2047e+04  2.8844e+04 
 8.3237e+00  1.2595e+02  9.2312e+04  3.6801e+04 
 8.3276e+00  1.2595e+02  9.9498e+04  4.6091e+04 
 8.3315e+00  1.2595e+02  9.7688e+04  5.6148e+04 
 8.3354e+00  1.2595e+02  9.0806e+04  6.5779e+04 
