#       NCYC               I           I_err
           0    9.384578e+07    4.891919e+05
          26    7.951334e+07    4.891919e+05
          -1    7.818016e+07    4.891919e+05
           1    7.843861e+07    4.891919e+05
           0    9.446414e+07    4.891919e+05
           2    7.921271e+07    4.891919e+05
           6    7.990669e+07    4.891919e+05
           8    8.005454e+07    4.891919e+05
          12    7.990193e+07    4.891919e+05
           4    7.862477e+07    4.891919e+05
          20    7.970131e+07    4.891919e+05
           0    9.333828e+07    4.891919e+05
          16    7.932975e+07    4.891919e+05
           6    7.927474e+07    4.891919e+05
          22    7.818293e+07    4.891919e+05
          14    7.993240e+07    4.891919e+05
          24    7.979135e+07    4.891919e+05
          10    7.921111e+07    4.891919e+05
          18    7.960620e+07    4.891919e+05
          16    7.938164e+07    4.891919e+05
           0    9.441387e+07    4.891919e+05
           3    7.836289e+07    4.891919e+05
          29    7.931659e+07    4.891919e+05
           7    7.882139e+07    4.891919e+05
           9    7.878727e+07    4.891919e+05
           9    7.942743e+07    4.891919e+05
          11    7.970271e+07    4.891919e+05
          25    7.971701e+07    4.891919e+05
          13    7.979330e+07    4.891919e+05
           0    9.361326e+07    4.891919e+05
          15    7.994388e+07    4.891919e+05
          17    7.863611e+07    4.891919e+05
          -1    7.769605e+07    4.891919e+05
           0    9.428347e+07    4.891919e+05
           1    7.910587e+07    4.891919e+05
           3    7.910046e+07    4.891919e+05
