#       NCYC               I           I_err
           0    7.569296e+07    5.141014e+05
          26    6.381947e+07    5.141014e+05
          -1    6.179411e+07    5.141014e+05
           1    6.032929e+07    5.141014e+05
           0    7.497802e+07    5.141014e+05
           2    6.163977e+07    5.141014e+05
           6    6.299061e+07    5.141014e+05
           8    6.232095e+07    5.141014e+05
          12    6.369953e+07    5.141014e+05
           4    6.191603e+07    5.141014e+05
          20    6.411985e+07    5.141014e+05
           0    7.496911e+07    5.141014e+05
          16    6.340159e+07    5.141014e+05
           6    6.286491e+07    5.141014e+05
          22    6.363774e+07    5.141014e+05
          14    6.220797e+07    5.141014e+05
          24    6.231109e+07    5.141014e+05
          10    6.284069e+07    5.141014e+05
          18    6.230352e+07    5.141014e+05
          16    6.318299e+07    5.141014e+05
           0    7.398766e+07    5.141014e+05
           3    6.208989e+07    5.141014e+05
          29    6.415153e+07    5.141014e+05
           7    6.321102e+07    5.141014e+05
           9    6.297694e+07    5.141014e+05
           9    6.296647e+07    5.141014e+05
          11    6.194533e+07    5.141014e+05
          25    6.343309e+07    5.141014e+05
          13    6.300719e+07    5.141014e+05
           0    7.462343e+07    5.141014e+05
          15    6.353694e+07    5.141014e+05
          17    6.195862e+07    5.141014e+05
          -1    6.134780e+07    5.141014e+05
           0    7.577954e+07    5.141014e+05
           1    6.256367e+07    5.141014e+05
           3    6.373535e+07    5.141014e+05
