#       NCYC               I           I_err
           0    6.269187e+07    5.355033e+05
          26    5.395208e+07    5.355033e+05
          -1    5.066127e+07    5.355033e+05
           1    5.183333e+07    5.355033e+05
           0    6.310992e+07    5.355033e+05
           2    5.159383e+07    5.355033e+05
           6    5.182838e+07    5.355033e+05
           8    5.420716e+07    5.355033e+05
          12    5.282071e+07    5.355033e+05
           4    5.130111e+07    5.355033e+05
          20    5.312891e+07    5.355033e+05
           0    6.228457e+07    5.355033e+05
          16    5.274126e+07    5.355033e+05
           6    5.188777e+07    5.355033e+05
          22    5.193261e+07    5.355033e+05
          14    5.261393e+07    5.355033e+05
          24    5.240813e+07    5.355033e+05
          10    5.246549e+07    5.355033e+05
          18    5.221596e+07    5.355033e+05
          16    5.237585e+07    5.355033e+05
           0    6.245157e+07    5.355033e+05
           3    5.189594e+07    5.355033e+05
          29    5.292082e+07    5.355033e+05
           7    5.298952e+07    5.355033e+05
           9    5.229611e+07    5.355033e+05
           9    5.172246e+07    5.355033e+05
          11    5.340846e+07    5.355033e+05
          25    5.393665e+07    5.355033e+05
          13    5.310365e+07    5.355033e+05
           0    6.298161e+07    5.355033e+05
          15    5.253170e+07    5.355033e+05
          17    5.228382e+07    5.355033e+05
          -1    5.102357e+07    5.355033e+05
           0    6.187700e+07    5.355033e+05
           1    5.067388e+07    5.355033e+05
           3    5.191539e+07    5.355033e+05
