#       NCYC               I           I_err
           0    1.382869e+08    4.936145e+05
          26    1.138731e+08    4.936145e+05
          -1    9.629506e+07    4.936145e+05
           1    9.555385e+07    4.936145e+05
           0    1.381120e+08    4.936145e+05
           2    9.584462e+07    4.936145e+05
           6    1.072358e+08    4.936145e+05
           8    1.102788e+08    4.936145e+05
          12    1.123468e+08    4.936145e+05
           4    1.014858e+08    4.936145e+05
          20    1.129250e+08    4.936145e+05
           0    1.383694e+08    4.936145e+05
          16    1.123147e+08    4.936145e+05
           6    1.070927e+08    4.936145e+05
          22    1.129532e+08    4.936145e+05
          14    1.125781e+08    4.936145e+05
          24    1.137414e+08    4.936145e+05
          10    1.113214e+08    4.936145e+05
          18    1.130388e+08    4.936145e+05
          16    1.135653e+08    4.936145e+05
           0    1.377154e+08    4.936145e+05
           3    9.911505e+07    4.936145e+05
          29    1.133931e+08    4.936145e+05
           7    1.091980e+08    4.936145e+05
           9    1.106164e+08    4.936145e+05
           9    1.108831e+08    4.936145e+05
          11    1.124023e+08    4.936145e+05
          25    1.141091e+08    4.936145e+05
          13    1.121982e+08    4.936145e+05
           0    1.399909e+08    4.936145e+05
          15    1.133834e+08    4.936145e+05
          17    1.124917e+08    4.936145e+05
          -1    9.457484e+07    4.936145e+05
           0    1.387569e+08    4.936145e+05
           1    9.556973e+07    4.936145e+05
           3    9.814528e+07    4.936145e+05
