#    OFFSETS               I           I_err
   -1305.127    7.239763e+07    6.619617e+05
   -1272.702    7.194661e+07    6.619617e+05
   -1240.276    7.307142e+07    6.619617e+05
   -1207.851    7.330503e+07    6.619617e+05
   -1175.425    7.219178e+07    6.619617e+05
     -1143.0    7.398479e+07    6.619617e+05
   -1110.574    7.211514e+07    6.619617e+05
   -1078.149    7.300152e+07    6.619617e+05
   -1045.723    7.308345e+07    6.619617e+05
   -1013.298    7.267788e+07    6.619617e+05
    -980.872    7.279512e+07    6.619617e+05
   -948.4465    7.360754e+07    6.619617e+05
    -916.021    7.162936e+07    6.619617e+05
   -883.5955    7.360190e+07    6.619617e+05
   -851.1699    7.199976e+07    6.619617e+05
   -818.7444    7.308894e+07    6.619617e+05
   -786.3189    7.240045e+07    6.619617e+05
   -753.8934    7.175165e+07    6.619617e+05
   -721.4678    7.409008e+07    6.619617e+05
    -11000.0    1.259927e+08    6.619617e+05
   -689.0423    7.314281e+07    6.619617e+05
   -656.6168    7.408032e+07    6.619617e+05
   -624.1913    7.321898e+07    6.619617e+05
   -591.7658    7.244512e+07    6.619617e+05
   -559.3402    7.344523e+07    6.619617e+05
   -526.9147    7.385510e+07    6.619617e+05
   -494.4892    7.307580e+07    6.619617e+05
   -462.0637    7.266291e+07    6.619617e+05
   -429.6382    7.354003e+07    6.619617e+05
   -397.2126    7.339197e+07    6.619617e+05
   -364.7871    7.247286e+07    6.619617e+05
   -332.3616    7.320151e+07    6.619617e+05
   -299.9361    7.215633e+07    6.619617e+05
   -267.5105    7.240548e+07    6.619617e+05
    -235.085    7.356125e+07    6.619617e+05
   -202.6595    7.272169e+07    6.619617e+05
    -170.234    7.368646e+07    6.619617e+05
   -137.8085    7.268049e+07    6.619617e+05
   -105.3829    7.326618e+07    6.619617e+05
    -11000.0    1.253517e+08    6.619617e+05
   -72.95742    7.306543e+07    6.619617e+05
    -40.5319    7.334726e+07    6.619617e+05
    -8.10638    7.268486e+07    6.619617e+05
    24.31914    7.343344e+07    6.619617e+05
    56.74466    7.320221e+07    6.619617e+05
    89.17018    7.336039e+07    6.619617e+05
    121.5957    7.216237e+07    6.619617e+05
    154.0212    6.904238e+07    6.619617e+05
    186.4467    6.203033e+07    6.619617e+05
    218.8723   -1.623402e+07    6.619617e+05
    251.2978    6.546334e+07    6.619617e+05
    283.7233    6.997783e+07    6.619617e+05
    316.1488    7.277049e+07    6.619617e+05
    348.5744    7.223803e+07    6.619617e+05
    380.9999    7.248932e+07    6.619617e+05
    413.4254    7.375636e+07    6.619617e+05
    445.8509    7.265809e+07    6.619617e+05
    478.2764    7.212869e+07    6.619617e+05
     510.702    7.221713e+07    6.619617e+05
    -11000.0    1.252582e+08    6.619617e+05
    543.1275    7.282974e+07    6.619617e+05
     575.553    7.255917e+07    6.619617e+05
    607.9785    7.337685e+07    6.619617e+05
     640.404    7.222759e+07    6.619617e+05
    672.8296    7.344629e+07    6.619617e+05
    705.2551    7.273117e+07    6.619617e+05
    737.6806    7.380155e+07    6.619617e+05
    770.1061    7.236547e+07    6.619617e+05
    802.5316    7.479893e+07    6.619617e+05
    834.9572    7.262359e+07    6.619617e+05
    867.3827    7.251933e+07    6.619617e+05
    899.8082    7.417116e+07    6.619617e+05
    932.2337    7.300922e+07    6.619617e+05
    964.6593    7.269599e+07    6.619617e+05
    997.0848    7.276044e+07    6.619617e+05
     1029.51    7.191068e+07    6.619617e+05
    1061.936    7.273504e+07    6.619617e+05
    1094.361    7.164770e+07    6.619617e+05
    1126.787    7.260283e+07    6.619617e+05
    -11000.0    1.257566e+08    6.619617e+05
