#       NCYC               I           I_err
           0    1.603512e+08    5.030484e+05
          26    1.381006e+08    5.030484e+05
          -1    1.357309e+08    5.030484e+05
           1    1.367370e+08    5.030484e+05
           0    1.607098e+08    5.030484e+05
           2    1.365727e+08    5.030484e+05
           6    1.371926e+08    5.030484e+05
           8    1.374380e+08    5.030484e+05
          12    1.370586e+08    5.030484e+05
           4    1.369978e+08    5.030484e+05
          20    1.377106e+08    5.030484e+05
           0    1.611551e+08    5.030484e+05
          16    1.362530e+08    5.030484e+05
           6    1.364546e+08    5.030484e+05
          22    1.377558e+08    5.030484e+05
          14    1.372489e+08    5.030484e+05
          24    1.371878e+08    5.030484e+05
          10    1.365293e+08    5.030484e+05
          18    1.361017e+08    5.030484e+05
          16    1.363760e+08    5.030484e+05
           0    1.613794e+08    5.030484e+05
           3    1.369141e+08    5.030484e+05
          29    1.380977e+08    5.030484e+05
           7    1.359042e+08    5.030484e+05
           9    1.366748e+08    5.030484e+05
           9    1.369575e+08    5.030484e+05
          11    1.365853e+08    5.030484e+05
          25    1.378070e+08    5.030484e+05
          13    1.370806e+08    5.030484e+05
           0    1.599681e+08    5.030484e+05
          15    1.371151e+08    5.030484e+05
          17    1.361886e+08    5.030484e+05
          -1    1.357678e+08    5.030484e+05
           0    1.614644e+08    5.030484e+05
           1    1.360215e+08    5.030484e+05
           3    1.369969e+08    5.030484e+05
