#       NCYC               I           I_err
           0    9.174444e+07    4.153996e+05
          26    7.758780e+07    4.153996e+05
          -1    7.263055e+07    4.153996e+05
           1    7.207321e+07    4.153996e+05
           0    9.183868e+07    4.153996e+05
           2    7.334966e+07    4.153996e+05
           6    7.516542e+07    4.153996e+05
           8    7.516125e+07    4.153996e+05
          12    7.653332e+07    4.153996e+05
           4    7.292329e+07    4.153996e+05
          20    7.676305e+07    4.153996e+05
           0    9.225000e+07    4.153996e+05
          16    7.695885e+07    4.153996e+05
           6    7.500798e+07    4.153996e+05
          22    7.750179e+07    4.153996e+05
          14    7.727266e+07    4.153996e+05
          24    7.731153e+07    4.153996e+05
          10    7.554580e+07    4.153996e+05
          18    7.700087e+07    4.153996e+05
          16    7.692579e+07    4.153996e+05
           0    9.167902e+07    4.153996e+05
           3    7.316234e+07    4.153996e+05
          29    7.725117e+07    4.153996e+05
           7    7.469118e+07    4.153996e+05
           9    7.586473e+07    4.153996e+05
           9    7.567824e+07    4.153996e+05
          11    7.672252e+07    4.153996e+05
          25    7.791617e+07    4.153996e+05
          13    7.720148e+07    4.153996e+05
           0    9.194773e+07    4.153996e+05
          15    7.749976e+07    4.153996e+05
          17    7.693441e+07    4.153996e+05
          -1    7.231706e+07    4.153996e+05
           0    9.202656e+07    4.153996e+05
           1    7.273005e+07    4.153996e+05
           3    7.349431e+07    4.153996e+05
