#       NCYC               I           I_err
           0    6.484219e+07    5.556214e+05
          26    5.492829e+07    5.556214e+05
          -1    5.308123e+07    5.556214e+05
           1    5.376343e+07    5.556214e+05
           0    6.430614e+07    5.556214e+05
           2    5.331091e+07    5.556214e+05
           6    5.462326e+07    5.556214e+05
           8    5.471008e+07    5.556214e+05
          12    5.470851e+07    5.556214e+05
           4    5.483095e+07    5.556214e+05
          20    5.477038e+07    5.556214e+05
           0    6.524699e+07    5.556214e+05
          16    5.440729e+07    5.556214e+05
           6    5.417488e+07    5.556214e+05
          22    5.485790e+07    5.556214e+05
          14    5.509311e+07    5.556214e+05
          24    5.532031e+07    5.556214e+05
          10    5.467454e+07    5.556214e+05
          18    5.441497e+07    5.556214e+05
          16    5.440248e+07    5.556214e+05
           0    6.423021e+07    5.556214e+05
           3    5.433024e+07    5.556214e+05
          29    5.613868e+07    5.556214e+05
           7    5.496458e+07    5.556214e+05
           9    5.422970e+07    5.556214e+05
           9    5.444183e+07    5.556214e+05
          11    5.418319e+07    5.556214e+05
          25    5.602572e+07    5.556214e+05
          13    5.517558e+07    5.556214e+05
           0    6.479625e+07    5.556214e+05
          15    5.482775e+07    5.556214e+05
          17    5.496089e+07    5.556214e+05
          -1    5.339400e+07    5.556214e+05
           0    6.543095e+07    5.556214e+05
           1    5.308335e+07    5.556214e+05
           3    5.370037e+07    5.556214e+05
