#       NCYC               I           I_err
           0    1.428262e+08    4.653650e+05
          26    1.159545e+08    4.653650e+05
          -1    1.075033e+08    4.653650e+05
           1    1.080884e+08    4.653650e+05
           0    1.418309e+08    4.653650e+05
           2    1.098133e+08    4.653650e+05
           6    1.139254e+08    4.653650e+05
           8    1.159779e+08    4.653650e+05
          12    1.156636e+08    4.653650e+05
           4    1.134397e+08    4.653650e+05
          20    1.159235e+08    4.653650e+05
           0    1.425135e+08    4.653650e+05
          16    1.157909e+08    4.653650e+05
           6    1.148621e+08    4.653650e+05
          22    1.162754e+08    4.653650e+05
          14    1.164281e+08    4.653650e+05
          24    1.168988e+08    4.653650e+05
          10    1.157238e+08    4.653650e+05
          18    1.155674e+08    4.653650e+05
          16    1.148520e+08    4.653650e+05
           0    1.433970e+08    4.653650e+05
           3    1.117504e+08    4.653650e+05
          29    1.163916e+08    4.653650e+05
           7    1.152332e+08    4.653650e+05
           9    1.156215e+08    4.653650e+05
           9    1.157011e+08    4.653650e+05
          11    1.158221e+08    4.653650e+05
          25    1.166665e+08    4.653650e+05
          13    1.163504e+08    4.653650e+05
           0    1.422647e+08    4.653650e+05
          15    1.162612e+08    4.653650e+05
          17    1.152558e+08    4.653650e+05
          -1    1.079260e+08    4.653650e+05
           0    1.425133e+08    4.653650e+05
           1    1.078810e+08    4.653650e+05
           3    1.109509e+08    4.653650e+05
