#       NCYC               I           I_err
           0    1.335858e+08    4.834149e+05
          26    1.093032e+08    4.834149e+05
          -1    1.088843e+08    4.834149e+05
           1    1.097941e+08    4.834149e+05
           0    1.333329e+08    4.834149e+05
           2    1.092117e+08    4.834149e+05
           6    1.089693e+08    4.834149e+05
           8    1.090296e+08    4.834149e+05
          12    1.086167e+08    4.834149e+05
           4    1.090132e+08    4.834149e+05
          20    1.106653e+08    4.834149e+05
           0    1.333689e+08    4.834149e+05
          16    1.096642e+08    4.834149e+05
           6    1.087502e+08    4.834149e+05
          22    1.096875e+08    4.834149e+05
          14    1.090593e+08    4.834149e+05
          24    1.089082e+08    4.834149e+05
          10    1.089273e+08    4.834149e+05
          18    1.087661e+08    4.834149e+05
          16    1.098247e+08    4.834149e+05
           0    1.342385e+08    4.834149e+05
           3    1.094377e+08    4.834149e+05
          29    1.098251e+08    4.834149e+05
           7    1.088830e+08    4.834149e+05
           9    1.099012e+08    4.834149e+05
           9    1.089311e+08    4.834149e+05
          11    1.089470e+08    4.834149e+05
          25    1.097711e+08    4.834149e+05
          13    1.095455e+08    4.834149e+05
           0    1.331819e+08    4.834149e+05
          15    1.093474e+08    4.834149e+05
          17    1.096502e+08    4.834149e+05
          -1    1.087865e+08    4.834149e+05
           0    1.337006e+08    4.834149e+05
           1    1.089860e+08    4.834149e+05
           3    1.094821e+08    4.834149e+05
