#       NCYC               I           I_err
           0    8.144550e+07    5.255456e+05
          26    6.834613e+07    5.255456e+05
          -1    6.789283e+07    5.255456e+05
           1    6.770613e+07    5.255456e+05
           0    8.161827e+07    5.255456e+05
           2    6.789042e+07    5.255456e+05
           6    6.828879e+07    5.255456e+05
           8    6.771444e+07    5.255456e+05
          12    6.870490e+07    5.255456e+05
           4    6.686721e+07    5.255456e+05
          20    6.784482e+07    5.255456e+05
           0    8.003989e+07    5.255456e+05
          16    6.674993e+07    5.255456e+05
           6    6.811013e+07    5.255456e+05
          22    6.774488e+07    5.255456e+05
          14    6.817403e+07    5.255456e+05
          24    6.864728e+07    5.255456e+05
          10    6.714115e+07    5.255456e+05
          18    6.815718e+07    5.255456e+05
          16    6.818660e+07    5.255456e+05
           0    8.114530e+07    5.255456e+05
           3    6.783682e+07    5.255456e+05
          29    6.807336e+07    5.255456e+05
           7    6.848317e+07    5.255456e+05
           9    6.776498e+07    5.255456e+05
           9    6.758297e+07    5.255456e+05
          11    6.860645e+07    5.255456e+05
          25    6.797052e+07    5.255456e+05
          13    6.807732e+07    5.255456e+05
           0    8.086889e+07    5.255456e+05
          15    6.762243e+07    5.255456e+05
          17    6.747975e+07    5.255456e+05
          -1    6.874041e+07    5.255456e+05
           0    8.106974e+07    5.255456e+05
           1    6.798959e+07    5.255456e+05
           3    6.776279e+07    5.255456e+05
