#  Times (s)        Intensity      Esd(Int.)
   5.000e-02    9.2362196e+05  1.0000000e+04
   1.000e-01    8.5714330e+05  1.0000000e+04
   1.500e-01    7.7666877e+05  1.0000000e+04
   2.000e-01    7.3308502e+05  1.0000000e+04
   2.500e-01    6.6613703e+05  1.0000000e+04
   3.000e-01    6.0293762e+05  1.0000000e+04
   3.500e-01    5.6473200e+05  1.0000000e+04
   4.000e-01    5.3327818e+05  1.0000000e+04
   4.500e-01    4.9007476e+05  1.0000000e+04
   5.000e-01    4.3785420e+05  1.0000000e+04
