#  Times (s)        Intensity      Esd(Int.)
   5.000e-02    9.2292456e+05  1.0000000e+04
   1.000e-01    8.4035612e+05  1.0000000e+04
   1.500e-01    7.9922421e+05  1.0000000e+04
   2.000e-01    7.0924940e+05  1.0000000e+04
   2.500e-01    6.5486588e+05  1.0000000e+04
   3.000e-01    6.1632039e+05  1.0000000e+04
   3.500e-01    5.4247024e+05  1.0000000e+04
   4.000e-01    5.0070063e+05  1.0000000e+04
   4.500e-01    4.6720996e+05  1.0000000e+04
   5.000e-01    4.2411623e+05  1.0000000e+04
