#  Times (s)        Intensity      Esd(Int.)
   5.000e-02    9.4562977e+05  1.0000000e+04
   1.000e-01    8.6507307e+05  1.0000000e+04
   1.500e-01    7.9948119e+05  1.0000000e+04
   2.000e-01    7.2218329e+05  1.0000000e+04
   2.500e-01    6.8451540e+05  1.0000000e+04
   3.000e-01    6.3408056e+05  1.0000000e+04
   3.500e-01    5.9072795e+05  1.0000000e+04
   4.000e-01    5.4254163e+05  1.0000000e+04
   4.500e-01    5.0871824e+05  1.0000000e+04
   5.000e-01    4.6759437e+05  1.0000000e+04
