# ***
# *** The fit converged successfully 
# ***
# X2 of the fit  :  3.77373e+05
# Free Parameters:           24
# Data Points    :        12798
#   F2(ppm)     F1(ppm)        Data        Calc 
 7.0965e+00  1.2118e+02 -5.7350e+03 -2.3024e+03 
 7.1004e+00  1.2118e+02 -8.0989e+03 -3.3626e+03 
 7.1043e+00  1.2118e+02 -1.1829e+04 -4.6288e+03 
 7.1082e+00  1.2118e+02 -1.6030e+04 -5.9982e+03 
 7.1121e+00  1.2118e+02 -1.9449e+04 -7.3104e+03 
 7.1160e+00  1.2118e+02 -2.0938e+04 -8.3725e+03 
 7.1200e+00  1.2118e+02 -1.9956e+04 -9.0020e+03 
 7.1239e+00  1.2118e+02 -1.6614e+04 -9.0785e+03 
 7.1278e+00  1.2118e+02 -1.1454e+04 -8.5869e+03 
 7.1317e+00  1.2118e+02 -5.3596e+03 -7.6227e+03 
 7.1356e+00  1.2118e+02  3.8798e+02 -6.3573e+03 
 7.1395e+00  1.2118e+02  4.5453e+03 -4.9855e+03 
 7.1434e+00  1.2118e+02  6.4728e+03 -3.6794e+03 
  
 7.0770e+00  1.2122e+02 -9.2051e+03 -2.0959e+02 
 7.0809e+00  1.2122e+02 -6.5070e+03 -3.7107e+02 
 7.0848e+00  1.2122e+02 -5.9945e+03 -6.5246e+02 
 7.0887e+00  1.2122e+02 -4.8459e+03 -1.1122e+03 
 7.0926e+00  1.2122e+02 -6.8610e+03 -1.8124e+03 
 7.0965e+00  1.2122e+02 -9.0845e+03 -2.8017e+03 
 7.1004e+00  1.2122e+02 -1.3727e+04 -4.0918e+03 
 7.1043e+00  1.2122e+02 -2.0454e+04 -5.6327e+03 
 7.1082e+00  1.2122e+02 -2.8239e+04 -7.2991e+03 
 7.1121e+00  1.2122e+02 -3.5554e+04 -8.8958e+03 
 7.1160e+00  1.2122e+02 -4.0824e+04 -1.0188e+04 
 7.1200e+00  1.2122e+02 -4.3012e+04 -1.0954e+04 
 7.1239e+00  1.2122e+02 -4.1798e+04 -1.1047e+04 
 7.1278e+00  1.2122e+02 -3.7465e+04 -1.0449e+04 
 7.1317e+00  1.2122e+02 -3.0705e+04 -9.2759e+03 
 7.1356e+00  1.2122e+02 -2.2490e+04 -7.7360e+03 
 7.1395e+00  1.2122e+02 -1.4172e+04 -6.0667e+03 
 7.1434e+00  1.2122e+02 -7.1038e+03 -4.4774e+03 
 7.1473e+00  1.2122e+02 -2.2326e+03 -3.1134e+03 
 7.1512e+00  1.2122e+02 -2.6297e+01 -2.0438e+03 
 7.1551e+00  1.2122e+02 -4.6556e+02 -1.2710e+03 
 7.1590e+00  1.2122e+02 -3.1859e+03 -7.5376e+02 
 7.1629e+00  1.2122e+02 -7.6861e+03 -4.3140e+02 
  
 7.0691e+00  1.2127e+02  9.6625e+01 -9.4319e+01 
 7.0730e+00  1.2127e+02 -3.8574e+02 -1.5055e+02 
 7.0770e+00  1.2127e+02 -8.1854e+02 -2.5866e+02 
 7.0809e+00  1.2127e+02 -2.0841e+03 -4.5793e+02 
 7.0848e+00  1.2127e+02 -7.8735e+03 -8.0519e+02 
 7.0887e+00  1.2127e+02 -4.6586e+02 -1.3725e+03 
 7.0926e+00  1.2127e+02 -7.6493e+03 -2.2366e+03 
 7.0965e+00  1.2127e+02 -1.5414e+04 -3.4576e+03 
 7.1004e+00  1.2127e+02 -2.5580e+04 -5.0496e+03 
 7.1043e+00  1.2127e+02 -3.7787e+04 -6.9512e+03 
 7.1082e+00  1.2127e+02 -5.0855e+04 -9.0076e+03 
 7.1121e+00  1.2127e+02 -6.3137e+04 -1.0978e+04 
 7.1160e+00  1.2127e+02 -7.2823e+04 -1.2573e+04 
 7.1200e+00  1.2127e+02 -7.8378e+04 -1.3518e+04 
 7.1239e+00  1.2127e+02 -7.8943e+04 -1.3633e+04 
 7.1278e+00  1.2127e+02 -7.4548e+04 -1.2895e+04 
 7.1317e+00  1.2127e+02 -6.5893e+04 -1.1447e+04 
 7.1356e+00  1.2127e+02 -5.3895e+04 -9.5468e+03 
 7.1395e+00  1.2127e+02 -4.0031e+04 -7.4868e+03 
 7.1434e+00  1.2127e+02 -2.6295e+04 -5.5254e+03 
 7.1473e+00  1.2127e+02 -1.4392e+04 -3.8422e+03 
 7.1512e+00  1.2127e+02 -5.4128e+03 -2.5221e+03 
 7.1551e+00  1.2127e+02  2.0596e+02 -1.5685e+03 
 7.1590e+00  1.2127e+02  2.4741e+03 -9.3019e+02 
 7.1629e+00  1.2127e+02  1.5844e+03 -5.3238e+02 
