# ***
# *** The fit converged successfully 
# ***
# X2 of the fit  :  8.02948e+04
# Free Parameters:           24
# Data Points    :        12798
#   F2(ppm)     F1(ppm)        Data        Calc 
 6.7369e+00  1.1558e+02 -2.9626e+03  7.5295e+03 
 6.7408e+00  1.1558e+02 -1.0934e+04  1.0110e+04 
 6.7447e+00  1.1558e+02 -1.8720e+04  1.3004e+04 
 6.7486e+00  1.1558e+02 -2.6322e+04  1.5987e+04 
 6.7525e+00  1.1558e+02 -3.3240e+04  1.8748e+04 
 6.7564e+00  1.1558e+02 -3.8707e+04  2.0926e+04 
 6.7603e+00  1.1558e+02 -4.1958e+04  2.2174e+04 
 6.7643e+00  1.1558e+02 -4.2506e+04  2.2263e+04 
 6.7682e+00  1.1558e+02 -4.0394e+04  2.1177e+04 
 6.7721e+00  1.1558e+02 -3.6082e+04  1.9117e+04 
 6.7760e+00  1.1558e+02 -2.9979e+04  1.6419e+04 
 6.7799e+00  1.1558e+02 -2.2703e+04  1.3447e+04 
 6.7838e+00  1.1558e+02 -1.5256e+04  1.0523e+04 
  
 6.7174e+00  1.1563e+02  1.1271e+04  1.3672e+03 
 6.7213e+00  1.1563e+02  8.3422e+03  2.0454e+03 
 6.7252e+00  1.1563e+02  4.4964e+03  3.0736e+03 
 6.7291e+00  1.1563e+02 -1.3981e+02  4.5582e+03 
 6.7330e+00  1.1563e+02 -5.7440e+03  6.5880e+03 
 6.7369e+00  1.1563e+02 -1.2573e+04  9.2019e+03 
 6.7408e+00  1.1563e+02 -2.0675e+04  1.2355e+04 
 6.7447e+00  1.1563e+02 -3.0132e+04  1.5892e+04 
 6.7486e+00  1.1563e+02 -4.0523e+04  1.9538e+04 
 6.7525e+00  1.1563e+02 -5.0665e+04  2.2912e+04 
 6.7564e+00  1.1563e+02 -5.8879e+04  2.5573e+04 
 6.7603e+00  1.1563e+02 -6.3596e+04  2.7098e+04 
 6.7643e+00  1.1563e+02 -6.4038e+04  2.7208e+04 
 6.7682e+00  1.1563e+02 -6.0582e+04  2.5880e+04 
 6.7721e+00  1.1563e+02 -5.4261e+04  2.3363e+04 
 6.7760e+00  1.1563e+02 -4.5877e+04  2.0065e+04 
 6.7799e+00  1.1563e+02 -3.6289e+04  1.6434e+04 
 6.7838e+00  1.1563e+02 -2.6780e+04  1.2861e+04 
 6.7877e+00  1.1563e+02 -1.8649e+04  9.6379e+03 
 6.7916e+00  1.1563e+02 -1.2695e+04  6.9387e+03 
 6.7955e+00  1.1563e+02 -6.9238e+03  4.8231e+03 
 6.7994e+00  1.1563e+02 -2.3481e+02  3.2624e+03 
 6.8033e+00  1.1563e+02  4.9201e+03  2.1732e+03 
  
 6.7095e+00  1.1568e+02  1.0729e+04  8.4599e+02 
 6.7134e+00  1.1568e+02  7.7179e+03  1.1792e+03 
 6.7174e+00  1.1568e+02  5.1818e+03  1.7198e+03 
 6.7213e+00  1.1568e+02  2.9137e+03  2.5729e+03 
 6.7252e+00  1.1568e+02  4.7522e+02  3.8662e+03 
 6.7291e+00  1.1568e+02 -1.9764e+03  5.7337e+03 
 6.7330e+00  1.1568e+02 -4.9534e+03  8.2870e+03 
 6.7369e+00  1.1568e+02 -9.7924e+03  1.1575e+04 
 6.7408e+00  1.1568e+02 -1.7819e+04  1.5541e+04 
 6.7447e+00  1.1568e+02 -2.9023e+04  1.9990e+04 
 6.7486e+00  1.1568e+02 -4.2475e+04  2.4576e+04 
 6.7525e+00  1.1568e+02 -5.6435e+04  2.8821e+04 
 6.7564e+00  1.1568e+02 -6.8582e+04  3.2168e+04 
 6.7603e+00  1.1568e+02 -7.6719e+04  3.4087e+04 
 6.7643e+00  1.1568e+02 -7.9574e+04  3.4224e+04 
 6.7682e+00  1.1568e+02 -7.7161e+04  3.2554e+04 
 6.7721e+00  1.1568e+02 -7.0453e+04  2.9388e+04 
 6.7760e+00  1.1568e+02 -6.0792e+04  2.5240e+04 
 6.7799e+00  1.1568e+02 -4.9671e+04  2.0672e+04 
 6.7838e+00  1.1568e+02 -3.8633e+04  1.6177e+04 
 6.7877e+00  1.1568e+02 -2.8914e+04  1.2123e+04 
 6.7916e+00  1.1568e+02 -2.1983e+04  8.7281e+03 
 6.7955e+00  1.1568e+02 -1.6687e+04  6.0669e+03 
 6.7994e+00  1.1568e+02 -1.0112e+04  4.1037e+03 
 6.8033e+00  1.1568e+02 -3.8489e+03  2.7336e+03 
 6.8073e+00  1.1568e+02  3.2988e+02  1.8237e+03 
 6.8112e+00  1.1568e+02  3.4305e+03  1.2440e+03 
  
 6.6978e+00  1.1573e+02  1.8257e+04  5.8767e+02 
 6.7017e+00  1.1573e+02  1.7308e+04  6.9804e+02 
 6.7056e+00  1.1573e+02  1.4929e+04  8.6843e+02 
 6.7095e+00  1.1573e+02  1.1468e+04  1.1433e+03 
 6.7134e+00  1.1573e+02  7.7342e+03  1.5935e+03 
 6.7174e+00  1.1573e+02  4.8142e+03  2.3241e+03 
 6.7213e+00  1.1573e+02  3.3050e+03  3.4770e+03 
 6.7252e+00  1.1573e+02  2.8807e+03  5.2248e+03 
 6.7291e+00  1.1573e+02  3.3513e+03  7.7485e+03 
 6.7330e+00  1.1573e+02  3.8554e+03  1.1199e+04 
 6.7369e+00  1.1573e+02  2.4706e+03  1.5642e+04 
 6.7408e+00  1.1573e+02 -2.8867e+03  2.1002e+04 
