# Name:    R40N-HN
# y_ppm:  119.81960    0.00001
# yw_hz:   15.21968    0.02327
# y_eta:    0.00000    0.00000
# x_ppm:    8.92160    0.00002
# xw_hz:   23.73655    0.03710
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    2.470600e+07    7.550000e+04
      -400.0    1.765354e+07    7.550000e+04
      -350.0    1.771324e+07    7.550000e+04
      -300.0    1.771251e+07    7.550000e+04
      -250.0    1.758243e+07    7.550000e+04
      -200.0    1.764667e+07    7.550000e+04
      -150.0    1.757242e+07    7.550000e+04
      -100.0    1.751762e+07    7.550000e+04
       -50.0    1.726597e+07    7.550000e+04
         0.0    1.666315e+07    7.550000e+04
        50.0    1.386056e+07    7.550000e+04
       100.0    1.739636e+06    7.550000e+04
       150.0    8.800273e+06    7.550000e+04
       200.0    1.574964e+07    7.550000e+04
       250.0    1.697947e+07    7.550000e+04
       300.0    1.740797e+07    7.550000e+04
       350.0    1.761085e+07    7.550000e+04
       400.0    1.762229e+07    7.550000e+04
