# Name:    R13N-HN
# y_ppm:  122.45945    0.00002
# yw_hz:   16.21713    0.05228
# y_eta:    0.00000    0.00000
# x_ppm:   10.11520    0.00004
# xw_hz:   30.72378    0.10685
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    8.753277e+06    7.550000e+04
      -400.0    5.262814e+05    7.550000e+04
      -350.0    4.856400e+06    7.550000e+04
      -300.0    5.841230e+06    7.550000e+04
      -250.0    5.985227e+06    7.550000e+04
      -200.0    5.980946e+06    7.550000e+04
      -150.0    6.085129e+06    7.550000e+04
      -100.0    6.062303e+06    7.550000e+04
       -50.0    6.118364e+06    7.550000e+04
         0.0    6.127291e+06    7.550000e+04
        50.0    6.064224e+06    7.550000e+04
       100.0    5.927945e+06    7.550000e+04
       150.0    5.191579e+06    7.550000e+04
       200.0    2.509661e+06    7.550000e+04
       250.0    4.212042e+06    7.550000e+04
       300.0    4.242481e+06    7.550000e+04
       350.0    2.047605e+06    7.550000e+04
       400.0    4.227177e+05    7.550000e+04
