13N-HN      499.2 5.0e-01 -6.000e+02 1.3e+01  1.0  0.47985  0.00294  0.48450
13N-HN      499.2 5.0e-01 -6.250e+02 1.3e+01  1.0  0.48503  0.00294  0.48453
13N-HN      499.2 5.0e-01 -6.500e+02 1.3e+01  1.0  0.48705  0.00294  0.48455
13N-HN      499.2 5.0e-01 -6.750e+02 1.3e+01  1.0  0.48629  0.00294  0.48457
13N-HN      499.2 5.0e-01 -7.000e+02 1.3e+01  1.0  0.48399  0.00294  0.48459
13N-HN      499.2 5.0e-01 -7.250e+02 1.3e+01  1.0  0.48396  0.00294  0.48461
13N-HN      499.2 5.0e-01 -7.500e+02 1.3e+01  1.0  0.48645  0.00294  0.48463
26N-HN      499.2 5.0e-01 1.000e+04 1.3e+01  1.0  1.00000  0.00355  0.99867
26N-HN      499.2 5.0e-01 7.500e+02 1.3e+01  1.0  0.42949  0.00355  0.43102
26N-HN      499.2 5.0e-01 7.250e+02 1.3e+01  1.0  0.43061  0.00355  0.43088
26N-HN      499.2 5.0e-01 7.000e+02 1.3e+01  1.0  0.43112  0.00355  0.43072
26N-HN      499.2 5.0e-01 6.750e+02 1.3e+01  1.0  0.42843  0.00355  0.43053
26N-HN      499.2 5.0e-01 6.500e+02 1.3e+01  1.0  0.43250  0.00355  0.43031
26N-HN      499.2 5.0e-01 6.250e+02 1.3e+01  1.0  0.42801  0.00355  0.43006
26N-HN      499.2 5.0e-01 6.000e+02 1.3e+01  1.0  0.43079  0.00355  0.42976
26N-HN      499.2 5.0e-01 5.750e+02 1.3e+01  1.0  0.43227  0.00355  0.42941
26N-HN      499.2 5.0e-01 5.500e+02 1.3e+01  1.0  0.43126  0.00355  0.42899
26N-HN      499.2 5.0e-01 5.250e+02 1.3e+01  1.0  0.42344  0.00355  0.42847
26N-HN      499.2 5.0e-01 5.000e+02 1.3e+01  1.0  0.43259  0.00355  0.42784
26N-HN      499.2 5.0e-01 4.750e+02 1.3e+01  1.0  0.42624  0.00355  0.42706
26N-HN      499.2 5.0e-01 4.500e+02 1.3e+01  1.0  0.42222  0.00355  0.42605
26N-HN      499.2 5.0e-01 4.250e+02 1.3e+01  1.0  0.42287  0.00355  0.42475
26N-HN      499.2 5.0e-01 4.000e+02 1.3e+01  1.0  0.42567  0.00355  0.42302
26N-HN      499.2 5.0e-01 3.750e+02 1.3e+01  1.0  0.41748  0.00355  0.42064
26N-HN      499.2 5.0e-01 3.500e+02 1.3e+01  1.0  0.41653  0.00355  0.41726
26N-HN      499.2 5.0e-01 3.250e+02 1.3e+01  1.0  0.41437  0.00355  0.41222
26N-HN      499.2 5.0e-01 3.000e+02 1.3e+01  1.0  0.40460  0.00355  0.40426
26N-HN      499.2 5.0e-01 2.750e+02 1.3e+01  1.0  0.39138  0.00355  0.39069
26N-HN      499.2 5.0e-01 2.500e+02 1.3e+01  1.0  0.37033  0.00355  0.36494
26N-HN      499.2 5.0e-01 2.250e+02 1.3e+01  1.0  0.30742  0.00355  0.30896
26N-HN      499.2 5.0e-01 2.000e+02 1.3e+01  1.0  0.16951  0.00355  0.17155
26N-HN      499.2 5.0e-01 1.750e+02 1.3e+01  1.0  0.00618  0.00355  0.00225
26N-HN      499.2 5.0e-01 1.500e+02 1.3e+01  1.0  0.01679  0.00355  0.02061
26N-HN      499.2 5.0e-01 1.250e+02 1.3e+01  1.0  0.21289  0.00355  0.21468
