# Name:    L29N-HN
# y_ppm:  128.93834    0.00001
# yw_hz:   16.18837    0.02672
# y_eta:    0.00000    0.00000
# x_ppm:    8.86327    0.00002
# xw_hz:   23.20358    0.03835
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0   -1.814709e+07    7.550000e+04
      -400.0   -1.200127e+07    7.550000e+04
      -350.0   -1.219072e+07    7.550000e+04
      -300.0   -1.245292e+07    7.550000e+04
      -250.0   -1.248429e+07    7.550000e+04
      -200.0   -1.240465e+07    7.550000e+04
      -150.0   -1.227168e+07    7.550000e+04
      -100.0   -1.170755e+07    7.550000e+04
       -50.0   -8.208803e+06    7.550000e+04
         0.0   -7.448429e+06    7.550000e+04
        50.0   -1.027057e+07    7.550000e+04
       100.0   -1.067438e+07    7.550000e+04
       150.0   -9.799647e+06    7.550000e+04
       200.0   -5.655796e+06    7.550000e+04
       250.0   -4.476724e+05    7.550000e+04
       300.0   -9.182504e+06    7.550000e+04
       350.0   -1.153807e+07    7.550000e+04
       400.0   -1.211756e+07    7.550000e+04
