# Name:    W37N-HN
# y_ppm:  124.19814    0.00003
# yw_hz:   16.15324    0.07178
# y_eta:    0.00000    0.00000
# x_ppm:    9.23124    0.00004
# xw_hz:   25.62179    0.09702
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    1.307254e+07    7.550000e+04
      -400.0    7.955370e+06    7.550000e+04
      -350.0    7.707763e+06    7.550000e+04
      -300.0    6.019150e+06    7.550000e+04
      -250.0   -1.186543e+05    7.550000e+04
      -200.0    4.701369e+06    7.550000e+04
      -150.0    8.233840e+06    7.550000e+04
      -100.0    8.712180e+06    7.550000e+04
       -50.0    9.026025e+06    7.550000e+04
         0.0    9.035788e+06    7.550000e+04
        50.0    9.064701e+06    7.550000e+04
       100.0    9.056516e+06    7.550000e+04
       150.0    8.962723e+06    7.550000e+04
       200.0    8.402155e+06    7.550000e+04
       250.0    5.714280e+06    7.550000e+04
       300.0    5.963375e+06    7.550000e+04
       350.0    7.740374e+06    7.550000e+04
       400.0    7.938101e+06    7.550000e+04
