#    OFFSETS               I           I_err
    -1321.34    6.146844e+07    6.677455e+05
   -1288.914    6.236408e+07    6.677455e+05
   -1256.489    6.069525e+07    6.677455e+05
   -1224.063    6.131631e+07    6.677455e+05
   -1191.638    6.173133e+07    6.677455e+05
   -1159.212    6.137261e+07    6.677455e+05
   -1126.787    6.055340e+07    6.677455e+05
   -1094.361    6.110660e+07    6.677455e+05
   -1061.936    6.162396e+07    6.677455e+05
    -1029.51    6.194794e+07    6.677455e+05
   -997.0848    6.136309e+07    6.677455e+05
   -964.6593    5.991262e+07    6.677455e+05
   -932.2337    5.971981e+07    6.677455e+05
   -899.8082    6.126240e+07    6.677455e+05
   -867.3827    6.157675e+07    6.677455e+05
   -834.9572    6.119254e+07    6.677455e+05
   -802.5316    6.105971e+07    6.677455e+05
   -770.1061    6.016034e+07    6.677455e+05
   -737.6806    6.132841e+07    6.677455e+05
    -11000.0    1.135860e+08    6.677455e+05
   -705.2551    6.089302e+07    6.677455e+05
   -672.8296    6.129454e+07    6.677455e+05
    -640.404    6.175958e+07    6.677455e+05
   -607.9785    6.163561e+07    6.677455e+05
    -575.553    6.124419e+07    6.677455e+05
   -543.1275    6.189089e+07    6.677455e+05
    -510.702    6.149908e+07    6.677455e+05
   -478.2764    6.128556e+07    6.677455e+05
   -445.8509    6.202323e+07    6.677455e+05
   -413.4254    6.142449e+07    6.677455e+05
   -380.9999    6.167081e+07    6.677455e+05
   -348.5744    6.071089e+07    6.677455e+05
   -316.1488    5.970686e+07    6.677455e+05
   -283.7233    5.991693e+07    6.677455e+05
   -251.2978    6.063368e+07    6.677455e+05
   -218.8723    6.060853e+07    6.677455e+05
   -186.4467    6.052047e+07    6.677455e+05
   -154.0212    6.045760e+07    6.677455e+05
   -121.5957    6.214524e+07    6.677455e+05
    -11000.0    1.120129e+08    6.677455e+05
   -89.17018    6.053041e+07    6.677455e+05
   -56.74466    5.921782e+07    6.677455e+05
   -24.31914    5.518327e+07    6.677455e+05
     8.10638    3.590055e+07    6.677455e+05
     40.5319    3.544773e+07    6.677455e+05
    72.95742    5.706767e+07    6.677455e+05
    105.3829    5.938149e+07    6.677455e+05
    137.8085    6.053461e+07    6.677455e+05
     170.234    6.029365e+07    6.677455e+05
    202.6595    5.936572e+07    6.677455e+05
     235.085    5.993602e+07    6.677455e+05
    267.5105    6.056137e+07    6.677455e+05
    299.9361    6.068520e+07    6.677455e+05
    332.3616    6.172039e+07    6.677455e+05
    364.7871    6.025672e+07    6.677455e+05
    397.2126    6.263577e+07    6.677455e+05
    429.6382    6.274201e+07    6.677455e+05
    462.0637    6.245241e+07    6.677455e+05
    494.4892    6.065017e+07    6.677455e+05
    -11000.0    1.131835e+08    6.677455e+05
    526.9147    6.116893e+07    6.677455e+05
    559.3402    6.122641e+07    6.677455e+05
    591.7658    6.279287e+07    6.677455e+05
    624.1913    6.178547e+07    6.677455e+05
    656.6168    6.085575e+07    6.677455e+05
    689.0423    6.145536e+07    6.677455e+05
    721.4678    6.027771e+07    6.677455e+05
    753.8934    6.166213e+07    6.677455e+05
    786.3189    5.992516e+07    6.677455e+05
    818.7444    6.209124e+07    6.677455e+05
    851.1699    6.117995e+07    6.677455e+05
    883.5955    6.088061e+07    6.677455e+05
     916.021    6.124030e+07    6.677455e+05
    948.4465    6.194068e+07    6.677455e+05
     980.872    6.142365e+07    6.677455e+05
    1013.298    6.101021e+07    6.677455e+05
    1045.723    5.985778e+07    6.677455e+05
    1078.149    6.119146e+07    6.677455e+05
    1110.574    6.190141e+07    6.677455e+05
    -11000.0    1.128920e+08    6.677455e+05
