#    OFFSETS               I           I_err
    -1321.34    3.271164e+07    8.634168e+05
   -1288.914    3.124468e+07    8.634168e+05
   -1256.489    3.293510e+07    8.634168e+05
   -1224.063    3.167050e+07    8.634168e+05
   -1191.638    3.319005e+07    8.634168e+05
   -1159.212    3.263007e+07    8.634168e+05
   -1126.787    3.199896e+07    8.634168e+05
   -1094.361    3.290481e+07    8.634168e+05
   -1061.936    3.191859e+07    8.634168e+05
    -1029.51    3.342712e+07    8.634168e+05
   -997.0848    3.235358e+07    8.634168e+05
   -964.6593    3.195965e+07    8.634168e+05
   -932.2337    3.282591e+07    8.634168e+05
   -899.8082    3.200442e+07    8.634168e+05
   -867.3827    3.409481e+07    8.634168e+05
   -834.9572    3.310436e+07    8.634168e+05
   -802.5316    3.315054e+07    8.634168e+05
   -770.1061    3.419510e+07    8.634168e+05
   -737.6806    3.229652e+07    8.634168e+05
    -11000.0    6.155485e+07    8.634168e+05
   -705.2551    3.268567e+07    8.634168e+05
   -672.8296    3.381756e+07    8.634168e+05
    -640.404    3.268779e+07    8.634168e+05
   -607.9785    3.240906e+07    8.634168e+05
    -575.553    3.150448e+07    8.634168e+05
   -543.1275    3.299813e+07    8.634168e+05
    -510.702    3.002524e+07    8.634168e+05
   -478.2764    2.367290e+07    8.634168e+05
   -445.8509    1.352830e+07    8.634168e+05
   -413.4254    2.275068e+07    8.634168e+05
   -380.9999    2.969153e+07    8.634168e+05
   -348.5744    3.097860e+07    8.634168e+05
   -316.1488    3.232460e+07    8.634168e+05
   -283.7233    3.180574e+07    8.634168e+05
   -251.2978    3.290773e+07    8.634168e+05
   -218.8723    3.062282e+07    8.634168e+05
   -186.4467    3.299291e+07    8.634168e+05
   -154.0212    3.153096e+07    8.634168e+05
   -121.5957    3.169100e+07    8.634168e+05
    -11000.0    6.041935e+07    8.634168e+05
   -89.17018    2.959363e+07    8.634168e+05
   -56.74466    3.075274e+07    8.634168e+05
   -24.31914    3.176851e+07    8.634168e+05
     8.10638    3.104534e+07    8.634168e+05
     40.5319    3.191893e+07    8.634168e+05
    72.95742    3.254912e+07    8.634168e+05
    105.3829    3.255592e+07    8.634168e+05
    137.8085    3.014561e+07    8.634168e+05
     170.234    3.190185e+07    8.634168e+05
    202.6595    3.256690e+07    8.634168e+05
     235.085    3.274344e+07    8.634168e+05
    267.5105    3.214050e+07    8.634168e+05
    299.9361    3.257651e+07    8.634168e+05
    332.3616    3.100771e+07    8.634168e+05
    364.7871    3.228037e+07    8.634168e+05
    397.2126    3.288098e+07    8.634168e+05
    429.6382    3.170901e+07    8.634168e+05
    462.0637    3.355749e+07    8.634168e+05
    494.4892    3.174487e+07    8.634168e+05
    -11000.0    5.966036e+07    8.634168e+05
    526.9147    3.263079e+07    8.634168e+05
    559.3402    3.255097e+07    8.634168e+05
    591.7658    3.248347e+07    8.634168e+05
    624.1913    3.229598e+07    8.634168e+05
    656.6168    3.084433e+07    8.634168e+05
    689.0423    3.239820e+07    8.634168e+05
    721.4678    3.226746e+07    8.634168e+05
    753.8934    3.285974e+07    8.634168e+05
    786.3189    3.307247e+07    8.634168e+05
    818.7444    3.255759e+07    8.634168e+05
    851.1699    3.270795e+07    8.634168e+05
    883.5955    3.233064e+07    8.634168e+05
     916.021    3.247604e+07    8.634168e+05
    948.4465    3.169506e+07    8.634168e+05
     980.872    3.145530e+07    8.634168e+05
    1013.298    3.249179e+07    8.634168e+05
    1045.723    3.264000e+07    8.634168e+05
    1078.149    3.348233e+07    8.634168e+05
    1110.574    3.210293e+07    8.634168e+05
    -11000.0    5.905461e+07    8.634168e+05
