I50CD1-HD1  598.8 3.0e-01 -3.500e+02 3.1e+01  5.0  0.65661  0.00792  0.65878
I50CD1-HD1  598.8 3.0e-01 -3.200e+02 3.1e+01  5.0  0.66241  0.00792  0.66105
I50CD1-HD1  598.8 3.0e-01 -2.900e+02 3.1e+01  5.0  0.66886  0.00792  0.66293
I50CD1-HD1  598.8 3.0e-01 -2.600e+02 3.1e+01  5.0  0.66662  0.00792  0.66449
I50CD1-HD1  598.8 3.0e-01 -2.300e+02 3.1e+01  5.0  0.66123  0.00792  0.66581
I50CD1-HD1  598.8 3.0e-01 -2.000e+02 3.1e+01  5.0  0.67426  0.00792  0.66694
I50CD1-HD1  598.8 3.0e-01 -1.700e+02 3.1e+01  5.0  0.67096  0.00792  0.66790
I50CD1-HD1  598.8 3.0e-01 -1.400e+02 3.1e+01  5.0  0.66825  0.00792  0.66873
I50CD1-HD1  598.8 3.0e-01 -1.100e+02 3.1e+01  5.0  0.67697  0.00792  0.66946
I50CD1-HD1  598.8 3.0e-01 -8.000e+01 3.1e+01  5.0  0.65920  0.00792  0.67009
I50CD1-HD1  598.8 3.0e-01 -5.000e+01 3.1e+01  5.0  0.67434  0.00792  0.67065
I50CD1-HD1  598.8 3.0e-01 -2.000e+01 3.1e+01  5.0  0.66350  0.00792  0.67115
I50CD1-HD1  598.8 3.0e-01 1.000e+01 3.1e+01  5.0  0.67595  0.00792  0.67159
I50CD1-HD1  598.8 3.0e-01 4.000e+01 3.1e+01  5.0  0.67198  0.00792  0.67198
I50CD1-HD1  598.8 3.0e-01 7.000e+01 3.1e+01  5.0  0.67721  0.00792  0.67233
I50CD1-HD1  598.8 3.0e-01 1.000e+02 3.1e+01  5.0  0.67411  0.00792  0.67265
I50CD1-HD1  598.8 3.0e-01 1.300e+02 3.1e+01  5.0  0.66746  0.00792  0.67293
I50CD1-HD1  598.8 3.0e-01 1.600e+02 3.1e+01  5.0  0.68379  0.00792  0.67319
I50CD1-HD1  598.8 3.0e-01 1.900e+02 3.1e+01  5.0  0.67742  0.00792  0.67343
I50CD1-HD1  598.8 3.0e-01 2.200e+02 3.1e+01  5.0  0.67978  0.00792  0.67364
I50CD1-HD1  598.8 3.0e-01 2.500e+02 3.1e+01  5.0  0.67430  0.00792  0.67384
I50CD1-HD1  598.8 3.0e-01 2.800e+02 3.1e+01  5.0  0.67498  0.00792  0.67402
I50CD1-HD1  598.8 3.0e-01 3.100e+02 3.1e+01  5.0  0.67670  0.00792  0.67419
I50CD1-HD1  598.8 3.0e-01 3.400e+02 3.1e+01  5.0  0.67549  0.00792  0.67434
I50CD1-HD1  598.8 3.0e-01 3.700e+02 3.1e+01  5.0  0.67932  0.00792  0.67448
I50CD1-HD1  598.8 3.0e-01 4.000e+02 3.1e+01  5.0  0.67015  0.00792  0.67461
I50CD1-HD1  598.8 3.0e-01 4.300e+02 3.1e+01  5.0  0.66400  0.00792  0.67473
I50CD1-HD1  598.8 3.0e-01 4.600e+02 3.1e+01  5.0  0.66353  0.00792  0.67484
I50CD1-HD1  598.8 3.0e-01 4.900e+02 3.1e+01  5.0  0.68189  0.00792  0.67495
I50CD1-HD1  598.8 3.0e-01 5.200e+02 3.1e+01  5.0  0.67410  0.00792  0.67504
I50CD1-HD1  598.8 3.0e-01 5.500e+02 3.1e+01  5.0  0.67743  0.00792  0.67513
I50CD1-HD1  598.8 3.0e-01 5.800e+02 3.1e+01  5.0  0.66302  0.00792  0.67522
I50CD1-HD1  598.8 3.0e-01 6.100e+02 3.1e+01  5.0  0.67879  0.00792  0.67530
I50CD1-HD1  598.8 3.0e-01 6.400e+02 3.1e+01  5.0  0.67573  0.00792  0.67537
I50CD1-HD1  598.8 3.0e-01 6.700e+02 3.1e+01  5.0  0.68328  0.00792  0.67544
I50CD1-HD1  598.8 3.0e-01 7.000e+02 3.1e+01  5.0  0.67615  0.00792  0.67551
I50CD1-HD1  598.8 3.0e-01 7.300e+02 3.1e+01  5.0  0.67751  0.00792  0.67557
I50CD1-HD1  598.8 3.0e-01 7.600e+02 3.1e+01  5.0  0.66804  0.00792  0.67563
I50CD1-HD1  598.8 3.0e-01 7.900e+02 3.1e+01  5.0  0.68308  0.00792  0.67568
I50CD1-HD1  598.8 3.0e-01 8.200e+02 3.1e+01  5.0  0.67770  0.00792  0.67573
I50CD1-HD1  598.8 3.0e-01 8.500e+02 3.1e+01  5.0  0.67743  0.00792  0.67578
I50CD1-HD1  598.8 3.0e-01 8.800e+02 3.1e+01  5.0  0.65862  0.00792  0.67583
I50CD1-HD1  598.8 3.0e-01 9.100e+02 3.1e+01  5.0  0.66924  0.00792  0.67587
I50CD1-HD1  598.8 3.0e-01 9.400e+02 3.1e+01  5.0  0.67857  0.00792  0.67592
I50CD1-HD1  598.8 3.0e-01 9.700e+02 3.1e+01  5.0  0.67520  0.00792  0.67596
I50CD1-HD1  598.8 3.0e-01 1.000e+03 3.1e+01  5.0  0.67436  0.00792  0.67599
I50CD1-HD1  598.8 3.0e-01 1.030e+03 3.1e+01  5.0  0.67345  0.00792  0.67603
I50CD1-HD1  598.8 3.0e-01 1.060e+03 3.1e+01  5.0  0.67780  0.00792  0.67606
I50CD1-HD1  598.8 3.0e-01 1.090e+03 3.1e+01  5.0  0.68534  0.00792  0.67610
I50CD1-HD1  598.8 3.0e-01 1.120e+03 3.1e+01  5.0  0.66939  0.00792  0.67613
I50CD1-HD1  598.8 3.0e-01 1.150e+03 3.1e+01  5.0  0.68266  0.00792  0.67616
I50CD1-HD1  598.8 3.0e-01 1.180e+03 3.1e+01  5.0  0.66023  0.00792  0.67618
I50CD1-HD1  598.8 3.0e-01 1.210e+03 3.1e+01  5.0  0.68032  0.00792  0.67621
I50CD1-HD1  598.8 3.0e-01 1.240e+03 3.1e+01  5.0  0.65952  0.00792  0.67624
I50CD1-HD1  598.8 3.0e-01 1.270e+03 3.1e+01  5.0  0.67006  0.00792  0.67626
