# ***
# *** The fit converged successfully 
# ***
# X2 of the fit  :  7.18917e+05
# Free Parameters:           46
# Data Points    :        21267
#   F2(ppm)     F1(ppm)        Data        Calc 
 7.5641e+00  1.1549e+02 -1.2350e+04 -1.2501e+04 
 7.5677e+00  1.1549e+02  1.8573e+04 -1.1369e+04 
 7.5714e+00  1.1549e+02  3.7869e+04 -6.5713e+03 
 7.5751e+00  1.1549e+02  5.5126e+04  2.5102e+03 
 7.5787e+00  1.1549e+02  7.9223e+04  1.5312e+04 
 7.5824e+00  1.1549e+02  9.2350e+04  2.9802e+04 
 7.5861e+00  1.1549e+02  8.7506e+04  4.2675e+04 
 7.5897e+00  1.1549e+02  6.7591e+04  5.0402e+04 
 7.5934e+00  1.1549e+02  3.8144e+04  5.0851e+04 
 7.5971e+00  1.1549e+02  1.7948e+04  4.4444e+04 
 7.6007e+00  1.1549e+02  1.2078e+04  3.3873e+04 
 7.6044e+00  1.1549e+02 -8.5852e+02  2.2577e+04 
 7.6081e+00  1.1549e+02 -1.2809e+04  1.3167e+04 
 7.6117e+00  1.1549e+02 -2.1320e+04  6.7094e+03 
 7.6154e+00  1.1549e+02 -2.0208e+04  2.9697e+03 
  
 7.5458e+00  1.1554e+02 -2.0778e+04 -2.7957e+03 
 7.5494e+00  1.1554e+02 -2.3421e+04 -4.5665e+03 
 7.5531e+00  1.1554e+02 -2.6063e+04 -6.9685e+03 
 7.5568e+00  1.1554e+02 -2.7853e+04 -9.7662e+03 
 7.5604e+00  1.1554e+02 -2.5611e+04 -1.2342e+04 
 7.5641e+00  1.1554e+02 -1.1763e+04 -1.3610e+04 
 7.5677e+00  1.1554e+02  2.3308e+04 -1.2066e+04 
 7.5714e+00  1.1554e+02  5.6008e+04 -6.1964e+03 
 7.5751e+00  1.1554e+02  5.5761e+04  4.7811e+03 
 7.5787e+00  1.1554e+02  7.6498e+04  2.0244e+04 
 7.5824e+00  1.1554e+02  1.0197e+05  3.7767e+04 
 7.5861e+00  1.1554e+02  1.1392e+05  5.3334e+04 
