# ***
# *** The fit converged successfully 
# ***
# X2 of the fit  :  1.88043e+06
# Free Parameters:           46
# Data Points    :        18666
#   F2(ppm)     F1(ppm)        Data        Calc 
 7.8499e+00  1.1838e+02 -4.1545e+03 -8.5677e+03 
 7.8535e+00  1.1838e+02  1.2497e+03 -1.4526e+04 
 7.8572e+00  1.1838e+02  3.1420e+03 -2.3271e+04 
 7.8609e+00  1.1838e+02 -1.8565e+03 -3.4605e+04 
 7.8645e+00  1.1838e+02 -1.6198e+04 -4.7304e+04 
 7.8682e+00  1.1838e+02 -3.7771e+04 -5.9047e+04 
 7.8718e+00  1.1838e+02 -6.0413e+04 -6.6815e+04 
 7.8755e+00  1.1838e+02 -7.8220e+04 -6.8034e+04 
 7.8792e+00  1.1838e+02 -8.7696e+04 -6.2241e+04 
 7.8828e+00  1.1838e+02 -8.6419e+04 -5.1466e+04 
 7.8865e+00  1.1838e+02 -7.5079e+04 -3.8751e+04 
 7.8902e+00  1.1838e+02 -5.7662e+04 -2.6745e+04 
 7.8938e+00  1.1838e+02 -3.8946e+04 -1.7119e+04 
 7.8975e+00  1.1838e+02 -1.9973e+04 -1.0587e+04 
 7.9012e+00  1.1838e+02 -5.7643e+03 -7.3669e+03 
 7.9048e+00  1.1838e+02  2.4067e+03 -7.8856e+03 
 7.9085e+00  1.1838e+02  4.7032e+03 -1.3310e+04 
 7.9121e+00  1.1838e+02  4.2865e+03 -2.5430e+04 
 7.9158e+00  1.1838e+02  4.5038e+02 -4.5497e+04 
 7.9195e+00  1.1838e+02 -3.1125e+04 -7.2284e+04 
 7.9231e+00  1.1838e+02 -8.4993e+04 -1.0067e+05 
 7.9268e+00  1.1838e+02 -1.1332e+05 -1.2255e+05 
 7.9305e+00  1.1838e+02 -1.3073e+05 -1.3043e+05 
 7.9341e+00  1.1838e+02 -1.3708e+05 -1.2141e+05 
 7.9378e+00  1.1838e+02 -1.3484e+05 -9.8742e+04 
 7.9415e+00  1.1838e+02 -1.2546e+05 -7.0049e+04 
 7.9451e+00  1.1838e+02 -1.0272e+05 -4.3307e+04 
 7.9488e+00  1.1838e+02 -7.1280e+04 -2.3309e+04 
 7.9524e+00  1.1838e+02 -3.1226e+04 -1.0898e+04 
 7.9561e+00  1.1838e+02 -2.7625e+03 -4.4042e+03 
  
 7.8315e+00  1.1843e+02 -2.3499e+04 -1.2323e+03 
 7.8352e+00  1.1843e+02 -2.4932e+04 -1.5929e+03 
 7.8389e+00  1.1843e+02 -2.7597e+04 -2.2632e+03 
 7.8425e+00  1.1843e+02 -2.4087e+04 -3.5701e+03 
 7.8462e+00  1.1843e+02 -1.7123e+04 -6.0704e+03 
 7.8499e+00  1.1843e+02 -9.1732e+03 -1.0555e+04 
 7.8535e+00  1.1843e+02  4.4313e+02 -1.7895e+04 
 7.8572e+00  1.1843e+02  1.1502e+04 -2.8668e+04 
 7.8609e+00  1.1843e+02  1.5388e+04 -4.2631e+04 
 7.8645e+00  1.1843e+02  8.3974e+03 -5.8275e+04 
 7.8682e+00  1.1843e+02 -7.9922e+03 -7.2741e+04 
 7.8718e+00  1.1843e+02 -2.7421e+04 -8.2311e+04 
