#    OFFSETS               I           I_err
    -1321.34    2.007345e+07    5.168816e+05
   -1297.021    2.214639e+07    5.168816e+05
   -1272.702    2.027243e+07    5.168816e+05
   -1248.383    2.102322e+07    5.168816e+05
   -1224.063    2.066758e+07    5.168816e+05
   -1199.744    2.066514e+07    5.168816e+05
   -1175.425    2.004161e+07    5.168816e+05
   -1151.106    2.074188e+07    5.168816e+05
   -1126.787    2.071896e+07    5.168816e+05
   -1102.468    2.084871e+07    5.168816e+05
   -1078.149    2.120054e+07    5.168816e+05
   -1053.829    1.995178e+07    5.168816e+05
    -1029.51    2.097379e+07    5.168816e+05
   -1005.191    2.126388e+07    5.168816e+05
    -980.872    2.093666e+07    5.168816e+05
   -956.5529    2.060551e+07    5.168816e+05
   -932.2337    2.031591e+07    5.168816e+05
   -907.9146    2.068385e+07    5.168816e+05
   -883.5955    2.158878e+07    5.168816e+05
    -11000.0    3.987884e+07    5.168816e+05
   -859.2763    2.096560e+07    5.168816e+05
   -834.9572    2.128981e+07    5.168816e+05
    -810.638    2.024664e+07    5.168816e+05
   -786.3189    2.106765e+07    5.168816e+05
   -761.9997    2.163699e+07    5.168816e+05
   -737.6806    2.065583e+07    5.168816e+05
   -713.3615    2.101569e+07    5.168816e+05
   -689.0423    2.114521e+07    5.168816e+05
   -664.7232    2.009382e+07    5.168816e+05
    -640.404    2.091011e+07    5.168816e+05
   -616.0849    2.080449e+07    5.168816e+05
   -591.7658    2.036027e+07    5.168816e+05
   -567.4466    2.111841e+07    5.168816e+05
   -543.1275    2.107583e+07    5.168816e+05
   -518.8083    2.017167e+07    5.168816e+05
   -494.4892    2.021127e+07    5.168816e+05
   -470.1701    2.147287e+07    5.168816e+05
   -445.8509    2.140682e+07    5.168816e+05
   -421.5318    2.186859e+07    5.168816e+05
    -11000.0    3.991912e+07    5.168816e+05
   -397.2126    2.101426e+07    5.168816e+05
   -372.8935    2.150984e+07    5.168816e+05
   -348.5744    2.037969e+07    5.168816e+05
   -324.2552    1.987359e+07    5.168816e+05
   -299.9361    2.098012e+07    5.168816e+05
   -275.6169    2.101647e+07    5.168816e+05
   -251.2978    2.100776e+07    5.168816e+05
   -226.9786    2.054332e+07    5.168816e+05
   -202.6595    2.125439e+07    5.168816e+05
   -178.3404    2.073843e+07    5.168816e+05
   -154.0212    2.105057e+07    5.168816e+05
   -129.7021    2.069516e+07    5.168816e+05
   -105.3829    2.003488e+07    5.168816e+05
    -81.0638    2.068414e+07    5.168816e+05
   -56.74466    1.992239e+07    5.168816e+05
   -32.42552    2.021191e+07    5.168816e+05
    -8.10638    2.012332e+07    5.168816e+05
    16.21276    1.896882e+07    5.168816e+05
     40.5319    1.596483e+07    5.168816e+05
    -11000.0    3.995619e+07    5.168816e+05
    64.85104    1.415938e+07    5.168816e+05
    89.17018    4.863160e+06    5.168816e+05
    113.4893    3.558944e+06    5.168816e+05
    137.8085    1.296034e+07    5.168816e+05
    162.1276    1.742381e+07    5.168816e+05
    186.4467    1.944994e+07    5.168816e+05
    210.7659    2.013471e+07    5.168816e+05
     235.085    1.994026e+07    5.168816e+05
    259.4042    2.077267e+07    5.168816e+05
    283.7233    2.095009e+07    5.168816e+05
    308.0425    2.088204e+07    5.168816e+05
    332.3616    2.030019e+07    5.168816e+05
    356.6807    2.098313e+07    5.168816e+05
    380.9999    1.997435e+07    5.168816e+05
     405.319    1.991013e+07    5.168816e+05
    429.6382    2.007819e+07    5.168816e+05
    453.9573    2.091552e+07    5.168816e+05
    478.2764    1.999267e+07    5.168816e+05
    502.5956    2.066143e+07    5.168816e+05
    -11000.0    3.917025e+07    5.168816e+05
    526.9147    2.124477e+07    5.168816e+05
    551.2339    2.163578e+07    5.168816e+05
     575.553    2.036844e+07    5.168816e+05
    599.8721    2.045260e+07    5.168816e+05
    624.1913    1.967948e+07    5.168816e+05
    648.5104    2.101247e+07    5.168816e+05
    672.8296    2.036258e+07    5.168816e+05
    697.1487    2.018646e+07    5.168816e+05
    721.4678    2.132718e+07    5.168816e+05
     745.787    2.069312e+07    5.168816e+05
    770.1061    2.185315e+07    5.168816e+05
    794.4253    2.134371e+07    5.168816e+05
    818.7444    2.091833e+07    5.168816e+05
    843.0636    2.039916e+07    5.168816e+05
    867.3827    2.073425e+07    5.168816e+05
    891.7018    2.055758e+07    5.168816e+05
     916.021    2.133763e+07    5.168816e+05
    940.3401    2.117146e+07    5.168816e+05
    964.6593    2.089275e+07    5.168816e+05
    -11000.0    4.026945e+07    5.168816e+05
    988.9784    2.053529e+07    5.168816e+05
    1013.298    2.069133e+07    5.168816e+05
    1037.617    2.066895e+07    5.168816e+05
    1061.936    2.011285e+07    5.168816e+05
    1086.255    2.075900e+07    5.168816e+05
    1110.574    2.060134e+07    5.168816e+05
