# ***
# *** The fit converged successfully 
# ***
# X2 of the fit  :  5.43902e+06
# Free Parameters:           23
# Data Points    :        12087
#   F2(ppm)     F1(ppm)        Data        Calc 
 7.9955e+00  1.2229e+02  6.4791e+03 -7.8932e+02 
 7.9994e+00  1.2229e+02  1.7210e+04 -1.0926e+03 
 8.0033e+00  1.2229e+02  3.2703e+04 -1.4194e+03 
 8.0072e+00  1.2229e+02  4.4872e+04 -1.7309e+03 
 8.0111e+00  1.2229e+02  4.9865e+04 -1.9814e+03 
 8.0150e+00  1.2229e+02  4.9968e+04 -2.1297e+03 
 8.0190e+00  1.2229e+02  4.8586e+04 -2.1494e+03 
 8.0229e+00  1.2229e+02  4.9134e+04 -2.0370e+03 
 8.0268e+00  1.2229e+02  4.8844e+04 -1.8126e+03 
 8.0307e+00  1.2229e+02  4.6971e+04 -1.5142e+03 
 8.0346e+00  1.2229e+02  4.7808e+04 -1.1873e+03 
 8.0385e+00  1.2229e+02  5.3841e+04 -8.7388e+02 
 8.0424e+00  1.2229e+02  6.2494e+04 -6.0357e+02 
  
 7.9760e+00  1.2233e+02 -1.0770e+04 -7.2944e+01 
 7.9799e+00  1.2233e+02 -1.6292e+01 -1.3998e+02 
 7.9838e+00  1.2233e+02  1.2252e+04 -2.5080e+02 
 7.9877e+00  1.2233e+02  1.2717e+04 -4.2070e+02 
 7.9916e+00  1.2233e+02  9.4222e+03 -6.6156e+02 
 7.9955e+00  1.2233e+02  3.6104e+03 -9.7587e+02 
 7.9994e+00  1.2233e+02  2.6634e+03 -1.3508e+03 
 8.0033e+00  1.2233e+02  7.7932e+03 -1.7548e+03 
 8.0072e+00  1.2233e+02  1.9432e+04 -2.1399e+03 
 8.0111e+00  1.2233e+02  2.9875e+04 -2.4497e+03 
 8.0150e+00  1.2233e+02  3.7324e+04 -2.6330e+03 
 8.0190e+00  1.2233e+02  4.4261e+04 -2.6574e+03 
 8.0229e+00  1.2233e+02  5.3048e+04 -2.5184e+03 
 8.0268e+00  1.2233e+02  5.9986e+04 -2.2409e+03 
 8.0307e+00  1.2233e+02  6.4227e+04 -1.8720e+03 
 8.0346e+00  1.2233e+02  6.8517e+04 -1.4680e+03 
 8.0385e+00  1.2233e+02  7.3746e+04 -1.0804e+03 
 8.0424e+00  1.2233e+02  7.5587e+04 -7.4622e+02 
 8.0463e+00  1.2233e+02  7.3882e+04 -4.8353e+02 
 8.0502e+00  1.2233e+02  7.1589e+04 -2.9379e+02 
 8.0541e+00  1.2233e+02  6.7679e+04 -1.6720e+02 
 8.0580e+00  1.2233e+02  6.1147e+04 -8.8936e+01 
 8.0620e+00  1.2233e+02  5.2320e+04 -4.4003e+01 
  
 7.9681e+00  1.2238e+02 -1.5467e+04 -1.9470e+01 
 7.9721e+00  1.2238e+02 -1.6675e+04 -4.4033e+01 
 7.9760e+00  1.2238e+02 -1.6129e+04 -9.1054e+01 
 7.9799e+00  1.2238e+02 -9.5252e+03 -1.7473e+02 
