# ***
# *** The fit converged successfully 
# ***
# X2 of the fit  :  3.06078e+04
# Free Parameters:           23
# Data Points    :        12087
#   F2(ppm)     F1(ppm)        Data        Calc 
 7.3584e+00  1.0821e+02  1.5434e+04  6.4720e+03 
 7.3623e+00  1.0821e+02  1.4722e+04  4.4386e+03 
 7.3662e+00  1.0821e+02  1.4766e+04  3.1206e+03 
 7.3701e+00  1.0821e+02  1.4956e+04  2.2857e+03 
 7.3740e+00  1.0821e+02  1.5017e+04  1.7608e+03 
  
 7.2450e+00  1.0826e+02 -8.7947e+01  1.8640e+03 
 7.2489e+00  1.0826e+02 -2.5304e+03  2.2559e+03 
 7.2528e+00  1.0826e+02 -3.8865e+03  2.8642e+03 
 7.2568e+00  1.0826e+02 -4.0118e+03  3.8297e+03 
 7.2607e+00  1.0826e+02 -2.7491e+03  5.3620e+03 
 7.2646e+00  1.0826e+02  1.5756e+02  7.7528e+03 
 7.2685e+00  1.0826e+02  5.2061e+03  1.1376e+04 
 7.2724e+00  1.0826e+02  1.3182e+04  1.6664e+04 
 7.2763e+00  1.0826e+02  2.5044e+04  2.4056e+04 
 7.2802e+00  1.0826e+02  4.0448e+04  3.3907e+04 
 7.2841e+00  1.0826e+02  5.8145e+04  4.6372e+04 
 7.2880e+00  1.0826e+02  7.7685e+04  6.1285e+04 
 7.2919e+00  1.0826e+02  9.8545e+04  7.8064e+04 
 7.2958e+00  1.0826e+02  1.1950e+05  9.5665e+04 
 7.2998e+00  1.0826e+02  1.3866e+05  1.1262e+05 
 7.3037e+00  1.0826e+02  1.5394e+05  1.2718e+05 
 7.3076e+00  1.0826e+02  1.6352e+05  1.3751e+05 
 7.3115e+00  1.0826e+02  1.6620e+05  1.4211e+05 
 7.3154e+00  1.0826e+02  1.6177e+05  1.4024e+05 
 7.3193e+00  1.0826e+02  1.5061e+05  1.3220e+05 
 7.3232e+00  1.0826e+02  1.3370e+05  1.1923e+05 
 7.3271e+00  1.0826e+02  1.1315e+05  1.0307e+05 
 7.3310e+00  1.0826e+02  9.1168e+04  8.5545e+04 
 7.3349e+00  1.0826e+02  6.9634e+04  6.8262e+04 
