#
#       Peak Name  Overlap_group
#          19N-HN              1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   119.801     7.842
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd      
# f01(ppm)      1.1980504e+02  5.7018820e-05 
# w1(Hz)        9.7259563e+00  7.6561374e-03 
# g1            1.1458183e+00  4.3824702e-03 
# f02(ppm)      7.8399586e+00  1.2725323e-05 
# w2(Hz)        1.7757933e+01  1.5927641e-02 
# g2            1.0948920e+00  6.0746756e-03 
############################################
#       ncyc        Intensity      Esd(Int.)
   0.000e+00    4.6228443e+04  1.4414188e+02
   3.000e+01    4.0838247e+04  1.3353544e+02
   2.000e+00    4.0876244e+04  1.3353986e+02
   2.800e+01    4.0944284e+04  1.3366485e+02
   4.000e+00    4.1034664e+04  1.3382622e+02
   2.600e+01    4.0790110e+04  1.3343513e+02
   6.000e+00    4.0900177e+04  1.3358333e+02
   2.400e+01    4.0620308e+04  1.3316879e+02
   8.000e+00    4.0715555e+04  1.3328164e+02
   2.200e+01    4.0706718e+04  1.3331536e+02
   1.000e+01    4.0610437e+04  1.3309300e+02
   2.000e+01    4.0622908e+04  1.3314044e+02
   1.200e+01    4.0692796e+04  1.3327382e+02
   1.800e+01    4.0625347e+04  1.3314604e+02
   1.400e+01    4.0970495e+04  1.3372965e+02
   1.600e+01    4.0868644e+04  1.3355597e+02
   2.800e+01    4.0783858e+04  1.3339724e+02
   1.200e+01    4.0848540e+04  1.3348684e+02
