#       NCYC               I           I_err
           0    4.359313e+07    5.147572e+05
          26    3.850993e+07    5.147572e+05
          -1    3.746608e+07    5.147572e+05
           1    3.750251e+07    5.147572e+05
           0    4.360283e+07    5.147572e+05
           2    3.860610e+07    5.147572e+05
           6    3.774115e+07    5.147572e+05
           8    3.971614e+07    5.147572e+05
          12    3.871154e+07    5.147572e+05
           4    3.801264e+07    5.147572e+05
          20    3.776120e+07    5.147572e+05
           0    4.327361e+07    5.147572e+05
          16    3.781149e+07    5.147572e+05
           6    3.719721e+07    5.147572e+05
          22    3.797051e+07    5.147572e+05
          14    3.682455e+07    5.147572e+05
          24    3.714634e+07    5.147572e+05
          10    3.641909e+07    5.147572e+05
          18    3.714188e+07    5.147572e+05
          16    3.780933e+07    5.147572e+05
           0    4.188499e+07    5.147572e+05
           3    3.637978e+07    5.147572e+05
          29    3.741403e+07    5.147572e+05
           7    3.679014e+07    5.147572e+05
           9    3.806268e+07    5.147572e+05
           9    3.823618e+07    5.147572e+05
          11    3.767013e+07    5.147572e+05
          25    3.767517e+07    5.147572e+05
          13    3.796753e+07    5.147572e+05
           0    4.231014e+07    5.147572e+05
          15    3.796825e+07    5.147572e+05
          17    3.739231e+07    5.147572e+05
          -1    3.638542e+07    5.147572e+05
           0    4.406082e+07    5.147572e+05
           1    3.692428e+07    5.147572e+05
           3    3.824281e+07    5.147572e+05
