#       NCYC               I           I_err
           0    2.977393e+07    5.448629e+05
          26    2.568944e+07    5.448629e+05
          -1    2.483391e+07    5.448629e+05
           1    2.564567e+07    5.448629e+05
           0    3.032820e+07    5.448629e+05
           2    2.535526e+07    5.448629e+05
           6    2.641122e+07    5.448629e+05
           8    2.706912e+07    5.448629e+05
          12    2.645663e+07    5.448629e+05
           4    2.715913e+07    5.448629e+05
          20    2.570092e+07    5.448629e+05
           0    2.985392e+07    5.448629e+05
          16    2.584117e+07    5.448629e+05
           6    2.474801e+07    5.448629e+05
          22    2.665193e+07    5.448629e+05
          14    2.624406e+07    5.448629e+05
          24    2.461580e+07    5.448629e+05
          10    2.609740e+07    5.448629e+05
          18    2.560224e+07    5.448629e+05
          16    2.559778e+07    5.448629e+05
           0    3.083955e+07    5.448629e+05
           3    2.526032e+07    5.448629e+05
          29    2.532557e+07    5.448629e+05
           7    2.573607e+07    5.448629e+05
           9    2.612485e+07    5.448629e+05
           9    2.675567e+07    5.448629e+05
          11    2.550450e+07    5.448629e+05
          25    2.610289e+07    5.448629e+05
          13    2.526559e+07    5.448629e+05
           0    3.052698e+07    5.448629e+05
          15    2.635744e+07    5.448629e+05
          17    2.556641e+07    5.448629e+05
          -1    2.484883e+07    5.448629e+05
           0    3.124357e+07    5.448629e+05
           1    2.423207e+07    5.448629e+05
           3    2.507022e+07    5.448629e+05
