#       NCYC               I           I_err
           0    5.769449e+07    5.782163e+05
          26    3.012003e+07    5.782163e+05
          -1    2.472011e+07    5.782163e+05
           1    2.417712e+07    5.782163e+05
           0    5.763478e+07    5.782163e+05
           2    2.535458e+07    5.782163e+05
           6    2.559223e+07    5.782163e+05
           8    2.387046e+07    5.782163e+05
          12    2.528200e+07    5.782163e+05
           4    2.412186e+07    5.782163e+05
          20    2.889354e+07    5.782163e+05
           0    5.719476e+07    5.782163e+05
          16    2.769115e+07    5.782163e+05
           6    2.433640e+07    5.782163e+05
          22    2.956780e+07    5.782163e+05
          14    2.590072e+07    5.782163e+05
          24    3.039845e+07    5.782163e+05
          10    2.391635e+07    5.782163e+05
          18    2.808912e+07    5.782163e+05
          16    2.722128e+07    5.782163e+05
           0    5.690916e+07    5.782163e+05
           3    2.426328e+07    5.782163e+05
          29    3.090091e+07    5.782163e+05
           7    2.471359e+07    5.782163e+05
           9    2.403295e+07    5.782163e+05
           9    2.493605e+07    5.782163e+05
          11    2.501667e+07    5.782163e+05
          25    3.030966e+07    5.782163e+05
          13    2.480163e+07    5.782163e+05
           0    5.708912e+07    5.782163e+05
          15    2.683154e+07    5.782163e+05
          17    2.820592e+07    5.782163e+05
          -1    2.451683e+07    5.782163e+05
           0    5.683110e+07    5.782163e+05
           1    2.394078e+07    5.782163e+05
           3    2.425377e+07    5.782163e+05
