#       NCYC               I           I_err
           0    1.051823e+08    4.867336e+05
          26    8.887916e+07    4.867336e+05
          -1    8.476534e+07    4.867336e+05
           1    8.768496e+07    4.867336e+05
           0    1.062700e+08    4.867336e+05
           2    8.711243e+07    4.867336e+05
           6    8.858220e+07    4.867336e+05
           8    8.879207e+07    4.867336e+05
          12    8.926992e+07    4.867336e+05
           4    8.867565e+07    4.867336e+05
          20    8.792186e+07    4.867336e+05
           0    1.051862e+08    4.867336e+05
          16    8.848016e+07    4.867336e+05
           6    8.953660e+07    4.867336e+05
          22    8.919342e+07    4.867336e+05
          14    8.869588e+07    4.867336e+05
          24    8.994005e+07    4.867336e+05
          10    8.886368e+07    4.867336e+05
          18    8.788911e+07    4.867336e+05
          16    8.840383e+07    4.867336e+05
           0    1.053943e+08    4.867336e+05
           3    8.742281e+07    4.867336e+05
          29    8.871246e+07    4.867336e+05
           7    8.859705e+07    4.867336e+05
           9    8.835473e+07    4.867336e+05
           9    8.860220e+07    4.867336e+05
          11    8.934883e+07    4.867336e+05
          25    8.866734e+07    4.867336e+05
          13    8.902274e+07    4.867336e+05
           0    1.059359e+08    4.867336e+05
          15    8.897932e+07    4.867336e+05
          17    8.801054e+07    4.867336e+05
          -1    8.473970e+07    4.867336e+05
           0    1.057444e+08    4.867336e+05
           1    8.785460e+07    4.867336e+05
           3    8.785748e+07    4.867336e+05
