#       NCYC               I           I_err
           0    1.192898e+08    4.571162e+05
          26    1.077474e+08    4.571162e+05
          -1    1.072178e+08    4.571162e+05
           1    1.065749e+08    4.571162e+05
           0    1.192440e+08    4.571162e+05
           2    1.070249e+08    4.571162e+05
           6    1.070584e+08    4.571162e+05
           8    1.073205e+08    4.571162e+05
          12    1.065682e+08    4.571162e+05
           4    1.073202e+08    4.571162e+05
          20    1.074439e+08    4.571162e+05
           0    1.197488e+08    4.571162e+05
          16    1.066522e+08    4.571162e+05
           6    1.069369e+08    4.571162e+05
          22    1.077128e+08    4.571162e+05
          14    1.078062e+08    4.571162e+05
          24    1.073287e+08    4.571162e+05
          10    1.069894e+08    4.571162e+05
          18    1.064064e+08    4.571162e+05
          16    1.076256e+08    4.571162e+05
           0    1.192346e+08    4.571162e+05
           3    1.067235e+08    4.571162e+05
          29    1.080984e+08    4.571162e+05
           7    1.071607e+08    4.571162e+05
           9    1.073141e+08    4.571162e+05
           9    1.066932e+08    4.571162e+05
          11    1.073515e+08    4.571162e+05
          25    1.078727e+08    4.571162e+05
          13    1.073949e+08    4.571162e+05
           0    1.185150e+08    4.571162e+05
          15    1.076649e+08    4.571162e+05
          17    1.065702e+08    4.571162e+05
          -1    1.071247e+08    4.571162e+05
           0    1.200108e+08    4.571162e+05
           1    1.067776e+08    4.571162e+05
           3    1.070246e+08    4.571162e+05
