#       NCYC               I           I_err
           0    4.698362e+07    5.449878e+05
          26    3.832672e+07    5.449878e+05
          -1    3.837367e+07    5.449878e+05
           1    3.739745e+07    5.449878e+05
           0    4.498586e+07    5.449878e+05
           2    3.818197e+07    5.449878e+05
           6    3.840676e+07    5.449878e+05
           8    3.895687e+07    5.449878e+05
          12    3.903328e+07    5.449878e+05
           4    3.911253e+07    5.449878e+05
          20    3.926835e+07    5.449878e+05
           0    4.519218e+07    5.449878e+05
          16    3.856237e+07    5.449878e+05
           6    3.897776e+07    5.449878e+05
          22    3.876160e+07    5.449878e+05
          14    3.898709e+07    5.449878e+05
          24    3.898875e+07    5.449878e+05
          10    3.968158e+07    5.449878e+05
          18    3.946491e+07    5.449878e+05
          16    3.791649e+07    5.449878e+05
           0    4.490409e+07    5.449878e+05
           3    3.774124e+07    5.449878e+05
          29    3.879121e+07    5.449878e+05
           7    3.844571e+07    5.449878e+05
           9    3.789975e+07    5.449878e+05
           9    3.845587e+07    5.449878e+05
          11    3.888069e+07    5.449878e+05
          25    3.999752e+07    5.449878e+05
          13    3.867594e+07    5.449878e+05
           0    4.610945e+07    5.449878e+05
          15    3.963221e+07    5.449878e+05
          17    3.910864e+07    5.449878e+05
          -1    3.736654e+07    5.449878e+05
           0    4.638695e+07    5.449878e+05
           1    3.751556e+07    5.449878e+05
           3    3.905956e+07    5.449878e+05
