#       NCYC               I           I_err
           0    4.330051e+07    6.416168e+05
          26    3.041568e+07    6.416168e+05
          -1    1.923396e+07    6.416168e+05
           1    1.926099e+07    6.416168e+05
           0    4.231907e+07    6.416168e+05
           2    2.168757e+07    6.416168e+05
           6    2.773754e+07    6.416168e+05
           8    2.886174e+07    6.416168e+05
          12    2.994499e+07    6.416168e+05
           4    2.604130e+07    6.416168e+05
          20    2.950858e+07    6.416168e+05
           0    4.192229e+07    6.416168e+05
          16    2.982956e+07    6.416168e+05
           6    2.783005e+07    6.416168e+05
          22    3.076344e+07    6.416168e+05
          14    3.047430e+07    6.416168e+05
          24    3.007501e+07    6.416168e+05
          10    2.977510e+07    6.416168e+05
          18    3.041469e+07    6.416168e+05
          16    2.869918e+07    6.416168e+05
           0    4.018793e+07    6.416168e+05
           3    2.363946e+07    6.416168e+05
          29    2.980613e+07    6.416168e+05
           7    2.910127e+07    6.416168e+05
           9    2.950670e+07    6.416168e+05
           9    2.985925e+07    6.416168e+05
          11    2.978545e+07    6.416168e+05
          25    3.032805e+07    6.416168e+05
          13    2.973717e+07    6.416168e+05
           0    4.163583e+07    6.416168e+05
          15    3.034428e+07    6.416168e+05
          17    2.970040e+07    6.416168e+05
          -1    1.837905e+07    6.416168e+05
           0    4.277524e+07    6.416168e+05
           1    1.854305e+07    6.416168e+05
           3    2.488450e+07    6.416168e+05
