#       NCYC               I           I_err
           0    5.605427e+07    5.467620e+05
          26    4.586729e+07    5.467620e+05
          -1    4.596220e+07    5.467620e+05
           1    4.667571e+07    5.467620e+05
           0    5.549316e+07    5.467620e+05
           2    4.607235e+07    5.467620e+05
           6    4.670805e+07    5.467620e+05
           8    4.708111e+07    5.467620e+05
          12    4.537670e+07    5.467620e+05
           4    4.725087e+07    5.467620e+05
          20    4.778230e+07    5.467620e+05
           0    5.577365e+07    5.467620e+05
          16    4.598725e+07    5.467620e+05
           6    4.601834e+07    5.467620e+05
          22    4.681608e+07    5.467620e+05
          14    4.642231e+07    5.467620e+05
          24    4.692743e+07    5.467620e+05
          10    4.594692e+07    5.467620e+05
          18    4.707273e+07    5.467620e+05
          16    4.641285e+07    5.467620e+05
           0    5.514362e+07    5.467620e+05
           3    4.638374e+07    5.467620e+05
          29    4.726224e+07    5.467620e+05
           7    4.667236e+07    5.467620e+05
           9    4.546560e+07    5.467620e+05
           9    4.693912e+07    5.467620e+05
          11    4.609905e+07    5.467620e+05
          25    4.726078e+07    5.467620e+05
          13    4.701218e+07    5.467620e+05
           0    5.549052e+07    5.467620e+05
          15    4.631463e+07    5.467620e+05
          17    4.646996e+07    5.467620e+05
          -1    4.560201e+07    5.467620e+05
           0    5.645107e+07    5.467620e+05
           1    4.576864e+07    5.467620e+05
           3    4.643151e+07    5.467620e+05
