#       NCYC               I           I_err
           0    4.101807e+07    5.549245e+05
          26    3.452026e+07    5.549245e+05
          -1    3.255975e+07    5.549245e+05
           1    3.360916e+07    5.549245e+05
           0    4.110743e+07    5.549245e+05
           2    3.407647e+07    5.549245e+05
           6    3.465026e+07    5.549245e+05
           8    3.559650e+07    5.549245e+05
          12    3.355368e+07    5.549245e+05
           4    3.406430e+07    5.549245e+05
          20    3.505766e+07    5.549245e+05
           0    4.134108e+07    5.549245e+05
          16    3.413865e+07    5.549245e+05
           6    3.538757e+07    5.549245e+05
          22    3.405358e+07    5.549245e+05
          14    3.507779e+07    5.549245e+05
          24    3.456915e+07    5.549245e+05
          10    3.473144e+07    5.549245e+05
          18    3.417495e+07    5.549245e+05
          16    3.455778e+07    5.549245e+05
           0    4.152878e+07    5.549245e+05
           3    3.413448e+07    5.549245e+05
          29    3.474686e+07    5.549245e+05
           7    3.506089e+07    5.549245e+05
           9    3.376140e+07    5.549245e+05
           9    3.367021e+07    5.549245e+05
          11    3.433136e+07    5.549245e+05
          25    3.486910e+07    5.549245e+05
          13    3.429074e+07    5.549245e+05
           0    4.202379e+07    5.549245e+05
          15    3.336862e+07    5.549245e+05
          17    3.446647e+07    5.549245e+05
          -1    3.239753e+07    5.549245e+05
           0    4.170750e+07    5.549245e+05
           1    3.369608e+07    5.549245e+05
           3    3.319664e+07    5.549245e+05
