#       NCYC               I           I_err
           0    9.544739e+07    5.656504e+05
          26    6.033173e+07    5.656504e+05
          -1    4.941945e+07    5.656504e+05
           1    4.951845e+07    5.656504e+05
           0    9.508857e+07    5.656504e+05
           2    4.974282e+07    5.656504e+05
           6    5.049608e+07    5.656504e+05
           8    4.946985e+07    5.656504e+05
          12    5.206948e+07    5.656504e+05
           4    4.937938e+07    5.656504e+05
          20    5.838457e+07    5.656504e+05
           0    9.506703e+07    5.656504e+05
          16    5.445704e+07    5.656504e+05
           6    5.016534e+07    5.656504e+05
          22    5.628052e+07    5.656504e+05
          14    5.374191e+07    5.656504e+05
          24    5.808576e+07    5.656504e+05
          10    4.968876e+07    5.656504e+05
          18    5.555263e+07    5.656504e+05
          16    5.503241e+07    5.656504e+05
           0    9.415216e+07    5.656504e+05
           3    4.979563e+07    5.656504e+05
          29    5.974695e+07    5.656504e+05
           7    4.921690e+07    5.656504e+05
           9    4.978383e+07    5.656504e+05
           9    5.043648e+07    5.656504e+05
          11    5.123107e+07    5.656504e+05
          25    5.994648e+07    5.656504e+05
          13    5.285338e+07    5.656504e+05
           0    9.500603e+07    5.656504e+05
          15    5.443062e+07    5.656504e+05
          17    5.492434e+07    5.656504e+05
          -1    5.045950e+07    5.656504e+05
           0    9.395885e+07    5.656504e+05
           1    5.011389e+07    5.656504e+05
           3    5.022257e+07    5.656504e+05
