#       NCYC               I           I_err
           0    1.198399e+08    4.785847e+05
          26    9.576145e+07    4.785847e+05
          -1    9.178688e+07    4.785847e+05
           1    9.498643e+07    4.785847e+05
           0    1.198206e+08    4.785847e+05
           2    9.546753e+07    4.785847e+05
           6    9.572878e+07    4.785847e+05
           8    9.618455e+07    4.785847e+05
          12    9.593608e+07    4.785847e+05
           4    9.581712e+07    4.785847e+05
          20    9.646886e+07    4.785847e+05
           0    1.195570e+08    4.785847e+05
          16    9.564978e+07    4.785847e+05
           6    9.572450e+07    4.785847e+05
          22    9.666314e+07    4.785847e+05
          14    9.678375e+07    4.785847e+05
          24    9.632424e+07    4.785847e+05
          10    9.721052e+07    4.785847e+05
          18    9.567136e+07    4.785847e+05
          16    9.623610e+07    4.785847e+05
           0    1.197502e+08    4.785847e+05
           3    9.553390e+07    4.785847e+05
          29    9.642777e+07    4.785847e+05
           7    9.547882e+07    4.785847e+05
           9    9.610354e+07    4.785847e+05
           9    9.589416e+07    4.785847e+05
          11    9.476369e+07    4.785847e+05
          25    9.598740e+07    4.785847e+05
          13    9.635262e+07    4.785847e+05
           0    1.199777e+08    4.785847e+05
          15    9.641015e+07    4.785847e+05
          17    9.457639e+07    4.785847e+05
          -1    9.129543e+07    4.785847e+05
           0    1.202601e+08    4.785847e+05
           1    9.461390e+07    4.785847e+05
           3    9.624390e+07    4.785847e+05
