#       NCYC               I           I_err
           0    5.856975e+07    5.387473e+05
          26    5.025897e+07    5.387473e+05
          -1    4.846437e+07    5.387473e+05
           1    4.829469e+07    5.387473e+05
           0    5.909315e+07    5.387473e+05
           2    4.910566e+07    5.387473e+05
           6    5.050356e+07    5.387473e+05
           8    5.103169e+07    5.387473e+05
          12    4.885756e+07    5.387473e+05
           4    4.904810e+07    5.387473e+05
          20    4.972892e+07    5.387473e+05
           0    5.887950e+07    5.387473e+05
          16    4.918579e+07    5.387473e+05
           6    4.955233e+07    5.387473e+05
          22    5.051522e+07    5.387473e+05
          14    5.019064e+07    5.387473e+05
          24    5.004340e+07    5.387473e+05
          10    5.019135e+07    5.387473e+05
          18    4.940698e+07    5.387473e+05
          16    5.034743e+07    5.387473e+05
           0    5.812348e+07    5.387473e+05
           3    4.912310e+07    5.387473e+05
          29    5.027801e+07    5.387473e+05
           7    4.942791e+07    5.387473e+05
           9    5.024977e+07    5.387473e+05
           9    5.023045e+07    5.387473e+05
          11    4.942447e+07    5.387473e+05
          25    5.009634e+07    5.387473e+05
          13    4.986068e+07    5.387473e+05
           0    5.946329e+07    5.387473e+05
          15    5.051129e+07    5.387473e+05
          17    4.984371e+07    5.387473e+05
          -1    4.818301e+07    5.387473e+05
           0    5.938355e+07    5.387473e+05
           1    4.889822e+07    5.387473e+05
           3    4.890299e+07    5.387473e+05
