# Name:    L18N-HN
# y_ppm:  120.06897    0.00004
# yw_hz:   15.71058    0.08712
# y_eta:    0.00000    0.00000
# x_ppm:    8.00193    0.00005
# xw_hz:   21.93050    0.12401
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    2.357371e+07    7.550000e+04
      -375.0    1.240878e+07    7.550000e+04
      -325.0    7.695507e+06    7.550000e+04
      -275.0    1.283635e+07    7.550000e+04
      -225.0    1.549082e+07    7.550000e+04
      -175.0    1.593660e+07    7.550000e+04
      -125.0    1.609422e+07    7.550000e+04
       -75.0    1.590966e+07    7.550000e+04
       -25.0    1.574867e+07    7.550000e+04
        25.0    1.511610e+07    7.550000e+04
        75.0    1.297319e+07    7.550000e+04
       125.0    1.979031e+06    7.550000e+04
       175.0    5.287263e+06    7.550000e+04
       225.0    1.202350e+07    7.550000e+04
       275.0    1.344247e+07    7.550000e+04
       325.0    1.254598e+07    7.550000e+04
