# Name:    S32N-HN
# y_ppm:  116.85528    0.00003
# yw_hz:   15.43512    0.05412
# y_eta:    0.00000    0.00000
# x_ppm:    7.95603    0.00003
# xw_hz:   19.68262    0.06959
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    2.337053e+07    7.550000e+04
      -375.0    1.541614e+07    7.550000e+04
      -325.0    1.511984e+07    7.550000e+04
      -275.0    1.415634e+07    7.550000e+04
      -225.0    9.507844e+06    7.550000e+04
      -175.0    6.905372e+05    7.550000e+04
      -125.0    6.957108e+06    7.550000e+04
       -75.0    6.812534e+06    7.550000e+04
       -25.0    1.387823e+07    7.550000e+04
        25.0    1.513588e+07    7.550000e+04
        75.0    1.546313e+07    7.550000e+04
       125.0    1.566830e+07    7.550000e+04
       175.0    1.557172e+07    7.550000e+04
       225.0    1.555562e+07    7.550000e+04
       275.0    1.538596e+07    7.550000e+04
       325.0    1.532341e+07    7.550000e+04
