# Name:     A6N-HN
# y_ppm:  124.38866    0.00002
# yw_hz:   14.50758    0.05052
# y_eta:    0.00000    0.00000
# x_ppm:    9.22054    0.00003
# xw_hz:   20.60445    0.06120
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    2.651759e+07    7.550000e+04
      -375.0    1.841763e+07    7.550000e+04
      -325.0    1.822229e+07    7.550000e+04
      -275.0    1.808414e+07    7.550000e+04
      -225.0    1.754899e+07    7.550000e+04
      -175.0    1.446467e+07    7.550000e+04
      -125.0    2.540017e+06    7.550000e+04
       -75.0    1.210533e+07    7.550000e+04
       -25.0    1.684192e+07    7.550000e+04
        25.0    1.788835e+07    7.550000e+04
        75.0    1.814012e+07    7.550000e+04
       125.0    1.829867e+07    7.550000e+04
       175.0    1.848706e+07    7.550000e+04
       225.0    1.835253e+07    7.550000e+04
       275.0    1.844739e+07    7.550000e+04
       325.0    1.834920e+07    7.550000e+04
