# Name:    D59N-HN
# y_ppm:  122.19499    0.00001
# yw_hz:   15.64157    0.02288
# y_eta:    0.00000    0.00000
# x_ppm:    8.32659    0.00001
# xw_hz:   19.75862    0.02939
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
    -20000.0    3.525941e+07    7.550000e+04
      -375.0    1.095704e+07    7.550000e+04
      -325.0    2.478287e+06    7.550000e+04
      -275.0    1.528846e+07    7.550000e+04
      -225.0    1.664755e+07    7.550000e+04
      -175.0    1.045045e+07    7.550000e+04
      -125.0    2.042499e+07    7.550000e+04
       -75.0    2.343308e+07    7.550000e+04
       -25.0    2.401335e+07    7.550000e+04
        25.0    2.413297e+07    7.550000e+04
        75.0    2.417121e+07    7.550000e+04
       125.0    2.417569e+07    7.550000e+04
       175.0    2.386428e+07    7.550000e+04
       225.0    2.336174e+07    7.550000e+04
       275.0    2.119349e+07    7.550000e+04
       325.0    1.085045e+07    7.550000e+04
